日付,店舗ID,商品ID,予測販売数量,発注数量,単価,予測売上金額
2025-10-21,1,しらすおむすび,1142.61,1371,165.0,188531.0
2025-10-21,1,Ｍアーモンドチョコレート,1142.61,1371,305.0,348496.0
2025-10-21,1,龍角散ののどすっきりタブ,1142.61,1371,200.0,228522.0
2025-10-21,1,忍者めし鋼グレープ味,1142.61,1371,148.0,169106.0
2025-10-21,1,◎もちもちくるみパン,1142.61,1371,128.0,146254.0
2025-10-21,1,ｉｎゼリーエネルギー,1142.61,1371,210.0,239948.0
2025-10-21,1,◎白生クロワッサン（ダブ,1142.61,1371,156.0,178247.0
2025-10-21,1,モンスター　リッパー,1142.61,1371,213.0,243376.0
2025-10-21,1,◎レモン香るティーソーダ,1142.61,1371,130.0,148539.0
2025-10-21,1,カルピス　ひんやりライチ,1142.61,1371,160.0,182818.0
2025-10-21,1,カルピスウォーター５００,1142.61,1371,160.0,182818.0
2025-10-21,1,トロピカーナアップル,1142.61,1371,120.0,137113.0
2025-10-21,1,ミンティアＢカルピス,1142.61,1371,211.0,241091.0
2025-10-21,1,◎ボディＰレモンミント,1142.61,1371,350.0,399913.0
2025-10-21,1,薬用リップスティック,1142.61,1371,299.0,341640.0
2025-10-21,1,さらさらシートクール,1142.61,1371,295.0,337070.0
2025-10-21,1,◎のむＹＧアサイーボウル,1142.61,1371,184.0,210240.0
2025-10-21,1,Ｚｅｒｏシート携帯,1142.61,1371,328.0,374776.0
2025-10-21,1,レッドブルエナジー２５０,1142.61,1371,198.0,226237.0
2025-10-21,1,ペパーミント１００ＭＬ,1142.61,1371,200.0,228522.0
2025-10-21,1,ヘアリングゴム黒,1142.61,1371,200.0,228522.0
2025-10-21,1,１日分鉄分のむヨーグルト,1142.61,1371,145.0,165678.0
2025-10-21,1,ザバスミルクココア風味,1142.61,1371,181.0,206812.0
2025-10-21,1,イーラインマスクベージュ,1142.61,1371,299.0,341640.0
2025-10-21,1,ブルガリアＹＯ　苺,1142.61,1371,158.0,180532.0
2025-10-21,1,◎カフェラテレギュラー,1142.61,1371,181.0,206812.0
2025-10-21,1,金のミルクキャンディ,1142.61,1371,221.0,252517.0
2025-10-21,1,ミンティアＢリフレッシュ,1142.61,1371,211.0,241091.0
2025-10-21,1,邪払のど飴,1142.61,1371,258.0,294793.0
2025-10-21,1,◎生コッペパン（たまご）,1142.61,1371,128.0,146254.0
2025-10-21,1,キレートクエン酸ゼリー,1142.61,1371,210.0,239948.0
2025-10-21,1,◎もっち歩き（チョコ）,1142.61,1371,125.0,142826.0
2025-10-21,1,ミンティアワイルド＆クー,1142.61,1371,105.0,119974.0
2025-10-21,1,アーモンドＣ香ばしＰＪ,1142.61,1371,175.0,199957.0
2025-10-21,1,ミンティアＢクリスタル,1142.61,1371,211.0,241091.0
2025-10-21,1,ブラックＴひとくちサイズ,1142.61,1371,120.0,137113.0
2025-10-21,1,ジャムグミいちご,1142.61,1371,182.0,207955.0
2025-10-21,1,ぷにキャラグミちいかわ,1142.61,1371,218.0,249089.0
