日付,店舗ID,商品ID,予測販売数量,発注数量,単価,予測売上金額
2025-10-15,14,しらすおむすび,1211.65,1454,165.0,199922.0
2025-10-16,14,しらすおむすび,1162.0,1394,165.0,191730.0
2025-10-17,14,しらすおむすび,1216.76,1460,165.0,200765.0
2025-10-18,14,しらすおむすび,1280.11,1536,165.0,211218.0
2025-10-19,14,しらすおむすび,1142.8,1371,165.0,188562.0
2025-10-20,14,しらすおむすび,1175.66,1411,165.0,193984.0
2025-10-21,14,しらすおむすび,1142.61,1371,165.0,188531.0
2025-10-15,14,Ｍアーモンドチョコレート,1211.65,1454,305.0,369553.0
2025-10-16,14,Ｍアーモンドチョコレート,1162.0,1394,305.0,354410.0
2025-10-17,14,Ｍアーモンドチョコレート,1216.76,1460,305.0,371112.0
2025-10-18,14,Ｍアーモンドチョコレート,1280.11,1536,305.0,390434.0
2025-10-19,14,Ｍアーモンドチョコレート,1142.8,1371,305.0,348554.0
2025-10-20,14,Ｍアーモンドチョコレート,1175.66,1411,305.0,358576.0
2025-10-21,14,Ｍアーモンドチョコレート,1142.61,1371,305.0,348496.0
2025-10-15,14,龍角散ののどすっきりタブ,1211.65,1454,200.0,242330.0
2025-10-16,14,龍角散ののどすっきりタブ,1162.0,1394,200.0,232400.0
2025-10-17,14,龍角散ののどすっきりタブ,1216.76,1460,200.0,243352.0
2025-10-18,14,龍角散ののどすっきりタブ,1280.11,1536,200.0,256022.0
2025-10-19,14,龍角散ののどすっきりタブ,1142.8,1371,200.0,228560.0
2025-10-20,14,龍角散ののどすっきりタブ,1175.66,1411,200.0,235132.0
2025-10-21,14,龍角散ののどすっきりタブ,1142.61,1371,200.0,228522.0
2025-10-15,14,忍者めし鋼グレープ味,1211.65,1454,148.0,179324.0
2025-10-16,14,忍者めし鋼グレープ味,1162.0,1394,148.0,171976.0
2025-10-17,14,忍者めし鋼グレープ味,1216.76,1460,148.0,180080.0
2025-10-18,14,忍者めし鋼グレープ味,1280.11,1536,148.0,189456.0
2025-10-19,14,忍者めし鋼グレープ味,1142.8,1371,148.0,169134.0
