日付,店舗ID,商品ID,予測販売数量,発注数量,単価,予測売上金額
2025-10-15,2,しらすおむすび,1209.85,1452,165.0,199625.0
2025-10-16,2,しらすおむすび,1171.09,1405,165.0,193230.0
2025-10-17,2,しらすおむすび,1180.88,1417,165.0,194845.0
2025-10-18,2,しらすおむすび,1280.11,1536,165.0,211218.0
2025-10-19,2,しらすおむすび,1129.5,1355,165.0,186368.0
2025-10-20,2,しらすおむすび,1181.56,1418,165.0,194957.0
2025-10-21,2,しらすおむすび,1134.02,1361,165.0,187113.0
2025-10-15,2,Ｍアーモンドチョコレート,1209.85,1452,305.0,369004.0
2025-10-16,2,Ｍアーモンドチョコレート,1171.09,1405,305.0,357182.0
2025-10-17,2,Ｍアーモンドチョコレート,1180.88,1417,305.0,360168.0
2025-10-18,2,Ｍアーモンドチョコレート,1280.11,1536,305.0,390434.0
2025-10-19,2,Ｍアーモンドチョコレート,1129.5,1355,305.0,344498.0
2025-10-20,2,Ｍアーモンドチョコレート,1181.56,1418,305.0,360376.0
2025-10-21,2,Ｍアーモンドチョコレート,1134.02,1361,305.0,345876.0
2025-10-15,2,龍角散ののどすっきりタブ,1209.85,1452,200.0,241970.0
2025-10-16,2,龍角散ののどすっきりタブ,1171.09,1405,200.0,234218.0
2025-10-17,2,龍角散ののどすっきりタブ,1180.88,1417,200.0,236176.0
2025-10-18,2,龍角散ののどすっきりタブ,1280.11,1536,200.0,256022.0
2025-10-19,2,龍角散ののどすっきりタブ,1129.5,1355,200.0,225900.0
2025-10-20,2,龍角散ののどすっきりタブ,1181.56,1418,200.0,236312.0
2025-10-21,2,龍角散ののどすっきりタブ,1134.02,1361,200.0,226804.0
2025-10-15,2,忍者めし鋼グレープ味,1209.85,1452,148.0,179058.0
2025-10-16,2,忍者めし鋼グレープ味,1171.09,1405,148.0,173321.0
2025-10-17,2,忍者めし鋼グレープ味,1180.88,1417,148.0,174770.0
2025-10-18,2,忍者めし鋼グレープ味,1280.11,1536,148.0,189456.0
2025-10-19,2,忍者めし鋼グレープ味,1129.5,1355,148.0,167166.0
2025-10-20,2,忍者めし鋼グレープ味,1181.56,1418,148.0,174871.0
2025-10-21,2,忍者めし鋼グレープ味,1134.02,1361,148.0,167835.0
2025-10-15,2,◎もちもちくるみパン,1209.85,1452,128.0,154861.0
2025-10-16,2,◎もちもちくるみパン,1171.09,1405,128.0,149900.0
2025-10-17,2,◎もちもちくるみパン,1180.88,1417,128.0,151153.0
2025-10-18,2,◎もちもちくるみパン,1280.11,1536,128.0,163854.0
2025-10-19,2,◎もちもちくるみパン,1129.5,1355,128.0,144576.0
2025-10-20,2,◎もちもちくるみパン,1181.56,1418,128.0,151240.0
2025-10-21,2,◎もちもちくるみパン,1134.02,1361,128.0,145155.0
2025-10-15,2,ｉｎゼリーエネルギー,1209.85,1452,210.0,254068.0
2025-10-16,2,ｉｎゼリーエネルギー,1171.09,1405,210.0,245929.0
2025-10-17,2,ｉｎゼリーエネルギー,1180.88,1417,210.0,247985.0
2025-10-18,2,ｉｎゼリーエネルギー,1280.11,1536,210.0,268823.0
2025-10-19,2,ｉｎゼリーエネルギー,1129.5,1355,210.0,237195.0
2025-10-20,2,ｉｎゼリーエネルギー,1181.56,1418,210.0,248128.0
2025-10-21,2,ｉｎゼリーエネルギー,1134.02,1361,210.0,238144.0
2025-10-15,2,◎白生クロワッサン（ダブ,1209.85,1452,156.0,188737.0
2025-10-16,2,◎白生クロワッサン（ダブ,1171.09,1405,156.0,182690.0
2025-10-17,2,◎白生クロワッサン（ダブ,1180.88,1417,156.0,184217.0
2025-10-18,2,◎白生クロワッサン（ダブ,1280.11,1536,156.0,199697.0
2025-10-19,2,◎白生クロワッサン（ダブ,1129.5,1355,156.0,176202.0
2025-10-20,2,◎白生クロワッサン（ダブ,1181.56,1418,156.0,184323.0
2025-10-21,2,◎白生クロワッサン（ダブ,1134.02,1361,156.0,176907.0
2025-10-15,2,モンスター　リッパー,1209.85,1452,213.0,257698.0
2025-10-16,2,モンスター　リッパー,1171.09,1405,213.0,249442.0
2025-10-17,2,モンスター　リッパー,1180.88,1417,213.0,251527.0
2025-10-18,2,モンスター　リッパー,1280.11,1536,213.0,272663.0
2025-10-19,2,モンスター　リッパー,1129.5,1355,213.0,240584.0
2025-10-20,2,モンスター　リッパー,1181.56,1418,213.0,251672.0
2025-10-21,2,モンスター　リッパー,1134.02,1361,213.0,241546.0
2025-10-15,2,◎レモン香るティーソーダ,1209.85,1452,130.0,157280.0
2025-10-16,2,◎レモン香るティーソーダ,1171.09,1405,130.0,152242.0
2025-10-17,2,◎レモン香るティーソーダ,1180.88,1417,130.0,153514.0
2025-10-18,2,◎レモン香るティーソーダ,1280.11,1536,130.0,166414.0
2025-10-19,2,◎レモン香るティーソーダ,1129.5,1355,130.0,146835.0
2025-10-20,2,◎レモン香るティーソーダ,1181.56,1418,130.0,153603.0
2025-10-21,2,◎レモン香るティーソーダ,1134.02,1361,130.0,147423.0
2025-10-15,2,カルピス　ひんやりライチ,1209.85,1452,160.0,193576.0
2025-10-16,2,カルピス　ひんやりライチ,1171.09,1405,160.0,187374.0
2025-10-17,2,カルピス　ひんやりライチ,1180.88,1417,160.0,188941.0
2025-10-18,2,カルピス　ひんやりライチ,1280.11,1536,160.0,204818.0
2025-10-19,2,カルピス　ひんやりライチ,1129.5,1355,160.0,180720.0
2025-10-20,2,カルピス　ひんやりライチ,1181.56,1418,160.0,189050.0
2025-10-21,2,カルピス　ひんやりライチ,1134.02,1361,160.0,181443.0
2025-10-15,2,カルピスウォーター５００,1209.85,1452,160.0,193576.0
2025-10-16,2,カルピスウォーター５００,1171.09,1405,160.0,187374.0
2025-10-17,2,カルピスウォーター５００,1180.88,1417,160.0,188941.0
2025-10-18,2,カルピスウォーター５００,1280.11,1536,160.0,204818.0
2025-10-19,2,カルピスウォーター５００,1129.5,1355,160.0,180720.0
2025-10-20,2,カルピスウォーター５００,1181.56,1418,160.0,189050.0
2025-10-21,2,カルピスウォーター５００,1134.02,1361,160.0,181443.0
2025-10-15,2,トロピカーナアップル,1209.85,1452,120.0,145182.0
2025-10-16,2,トロピカーナアップル,1171.09,1405,120.0,140531.0
2025-10-17,2,トロピカーナアップル,1180.88,1417,120.0,141706.0
2025-10-18,2,トロピカーナアップル,1280.11,1536,120.0,153613.0
2025-10-19,2,トロピカーナアップル,1129.5,1355,120.0,135540.0
2025-10-20,2,トロピカーナアップル,1181.56,1418,120.0,141787.0
2025-10-21,2,トロピカーナアップル,1134.02,1361,120.0,136082.0
2025-10-15,2,ミンティアＢカルピス,1209.85,1452,211.0,255278.0
2025-10-16,2,ミンティアＢカルピス,1171.09,1405,211.0,247100.0
2025-10-17,2,ミンティアＢカルピス,1180.88,1417,211.0,249166.0
2025-10-18,2,ミンティアＢカルピス,1280.11,1536,211.0,270103.0
2025-10-19,2,ミンティアＢカルピス,1129.5,1355,211.0,238324.0
2025-10-20,2,ミンティアＢカルピス,1181.56,1418,211.0,249309.0
2025-10-21,2,ミンティアＢカルピス,1134.02,1361,211.0,239278.0
2025-10-15,2,◎ボディＰレモンミント,1209.85,1452,350.0,423447.0
2025-10-16,2,◎ボディＰレモンミント,1171.09,1405,350.0,409882.0
2025-10-17,2,◎ボディＰレモンミント,1180.88,1417,350.0,413308.0
2025-10-18,2,◎ボディＰレモンミント,1280.11,1536,350.0,448038.0
2025-10-19,2,◎ボディＰレモンミント,1129.5,1355,350.0,395325.0
2025-10-20,2,◎ボディＰレモンミント,1181.56,1418,350.0,413546.0
2025-10-21,2,◎ボディＰレモンミント,1134.02,1361,350.0,396907.0
2025-10-15,2,薬用リップスティック,1209.85,1452,299.0,361745.0
2025-10-16,2,薬用リップスティック,1171.09,1405,299.0,350156.0
2025-10-17,2,薬用リップスティック,1180.88,1417,299.0,353083.0
2025-10-18,2,薬用リップスティック,1280.11,1536,299.0,382753.0
2025-10-19,2,薬用リップスティック,1129.5,1355,299.0,337720.0
2025-10-20,2,薬用リップスティック,1181.56,1418,299.0,353286.0
2025-10-21,2,薬用リップスティック,1134.02,1361,299.0,339072.0
2025-10-15,2,さらさらシートクール,1209.85,1452,295.0,356906.0
2025-10-16,2,さらさらシートクール,1171.09,1405,295.0,345472.0
2025-10-17,2,さらさらシートクール,1180.88,1417,295.0,348360.0
2025-10-18,2,さらさらシートクール,1280.11,1536,295.0,377632.0
2025-10-19,2,さらさらシートクール,1129.5,1355,295.0,333202.0
2025-10-20,2,さらさらシートクール,1181.56,1418,295.0,348560.0
2025-10-21,2,さらさらシートクール,1134.02,1361,295.0,334536.0
2025-10-15,2,◎のむＹＧアサイーボウル,1209.85,1452,184.0,222612.0
2025-10-16,2,◎のむＹＧアサイーボウル,1171.09,1405,184.0,215481.0
2025-10-17,2,◎のむＹＧアサイーボウル,1180.88,1417,184.0,217282.0
2025-10-18,2,◎のむＹＧアサイーボウル,1280.11,1536,184.0,235540.0
2025-10-19,2,◎のむＹＧアサイーボウル,1129.5,1355,184.0,207828.0
2025-10-20,2,◎のむＹＧアサイーボウル,1181.56,1418,184.0,217407.0
2025-10-21,2,◎のむＹＧアサイーボウル,1134.02,1361,184.0,208660.0
2025-10-15,2,Ｚｅｒｏシート携帯,1209.85,1452,328.0,396831.0
2025-10-16,2,Ｚｅｒｏシート携帯,1171.09,1405,328.0,384118.0
2025-10-17,2,Ｚｅｒｏシート携帯,1180.88,1417,328.0,387329.0
2025-10-18,2,Ｚｅｒｏシート携帯,1280.11,1536,328.0,419876.0
2025-10-19,2,Ｚｅｒｏシート携帯,1129.5,1355,328.0,370476.0
2025-10-20,2,Ｚｅｒｏシート携帯,1181.56,1418,328.0,387552.0
