日付,売上数量,売上金額
2025/09/01,4043,820325
2025/09/02,4334,894649
2025/09/03,4366,914659
2025/09/04,4424,1108316
2025/09/05,4640,975108
2025/09/06,3782,724283
2025/09/07,3290,612187
2025/09/08,4180,865855
2025/09/09,4250,878985
2025/09/10,4206,912538
2025/09/11,4483,940645
2025/09/12,4531,979344
2025/09/13,4017,753367
2025/09/14,3618,679322
2025/09/15,3037,569478
2025/09/16,4384,916387
2025/09/17,4409,898038
2025/09/18,4443,901958
2025/09/19,4715,960558
2025/09/20,4266,829186
2025/09/21,3322,619819
2025/09/22,3890,801008
2025/09/23,3386,640480
2025/09/24,4340,905265
2025/09/25,4266,853772
2025/09/26,5158,1015103
2025/09/27,4219,761692
2025/09/28,3324,605555
2025/09/29,4333,882795
2025/09/30,4387,889047
