日付,店舗ID,商品ID,予測販売数量,発注数量,単価,予測売上金額
2025-10-15,9,しらすおむすび,1209.85,1452,165.0,199625.0
2025-10-16,9,しらすおむすび,1153.41,1384,165.0,190313.0
2025-10-17,9,しらすおむすび,1229.49,1475,165.0,202866.0
2025-10-18,9,しらすおむすび,1357.64,1629,165.0,224011.0
2025-10-19,9,しらすおむすび,1194.94,1434,165.0,197165.0
2025-10-20,9,しらすおむすび,1175.66,1411,165.0,193984.0
2025-10-21,9,しらすおむすび,1142.61,1371,165.0,188531.0
2025-10-15,9,Ｍアーモンドチョコレート,1209.85,1452,305.0,369004.0
2025-10-16,9,Ｍアーモンドチョコレート,1153.41,1384,305.0,351790.0
2025-10-17,9,Ｍアーモンドチョコレート,1229.49,1475,305.0,374994.0
2025-10-18,9,Ｍアーモンドチョコレート,1357.64,1629,305.0,414080.0
2025-10-19,9,Ｍアーモンドチョコレート,1194.94,1434,305.0,364457.0
2025-10-20,9,Ｍアーモンドチョコレート,1175.66,1411,305.0,358576.0
2025-10-21,9,Ｍアーモンドチョコレート,1142.61,1371,305.0,348496.0
2025-10-15,9,龍角散ののどすっきりタブ,1209.85,1452,200.0,241970.0
2025-10-16,9,龍角散ののどすっきりタブ,1153.41,1384,200.0,230682.0
2025-10-17,9,龍角散ののどすっきりタブ,1229.49,1475,200.0,245898.0
2025-10-18,9,龍角散ののどすっきりタブ,1357.64,1629,200.0,271528.0
2025-10-19,9,龍角散ののどすっきりタブ,1194.94,1434,200.0,238988.0
2025-10-20,9,龍角散ののどすっきりタブ,1175.66,1411,200.0,235132.0
2025-10-21,9,龍角散ののどすっきりタブ,1142.61,1371,200.0,228522.0
2025-10-15,9,忍者めし鋼グレープ味,1209.85,1452,148.0,179058.0
2025-10-16,9,忍者めし鋼グレープ味,1153.41,1384,148.0,170705.0
2025-10-17,9,忍者めし鋼グレープ味,1229.49,1475,148.0,181965.0
2025-10-18,9,忍者めし鋼グレープ味,1357.64,1629,148.0,200931.0
2025-10-19,9,忍者めし鋼グレープ味,1194.94,1434,148.0,176851.0
2025-10-20,9,忍者めし鋼グレープ味,1175.66,1411,148.0,173998.0
2025-10-21,9,忍者めし鋼グレープ味,1142.61,1371,148.0,169106.0
2025-10-15,9,◎もちもちくるみパン,1209.85,1452,128.0,154861.0
2025-10-16,9,◎もちもちくるみパン,1153.41,1384,128.0,147636.0
2025-10-17,9,◎もちもちくるみパン,1229.49,1475,128.0,157375.0
2025-10-18,9,◎もちもちくるみパン,1357.64,1629,128.0,173778.0
2025-10-19,9,◎もちもちくるみパン,1194.94,1434,128.0,152952.0
2025-10-20,9,◎もちもちくるみパン,1175.66,1411,128.0,150484.0
2025-10-21,9,◎もちもちくるみパン,1142.61,1371,128.0,146254.0
2025-10-15,9,ｉｎゼリーエネルギー,1209.85,1452,210.0,254068.0
