日付,店舗ID,商品ID,予測販売数量,発注数量,単価,予測売上金額
2025-10-15,5,しらすおむすび,1209.85,1452,165.0,199625.0
2025-10-16,5,しらすおむすび,1182.98,1420,165.0,195192.0
2025-10-17,5,しらすおむすび,1181.66,1418,165.0,194974.0
2025-10-18,5,しらすおむすび,1264.53,1517,165.0,208647.0
2025-10-19,5,しらすおむすび,1129.5,1355,165.0,186368.0
2025-10-20,5,しらすおむすび,1188.04,1426,165.0,196027.0
2025-10-21,5,しらすおむすび,1134.02,1361,165.0,187113.0
2025-10-15,5,Ｍアーモンドチョコレート,1209.85,1452,305.0,369004.0
2025-10-16,5,Ｍアーモンドチョコレート,1182.98,1420,305.0,360809.0
2025-10-17,5,Ｍアーモンドチョコレート,1181.66,1418,305.0,360406.0
2025-10-18,5,Ｍアーモンドチョコレート,1264.53,1517,305.0,385682.0
2025-10-19,5,Ｍアーモンドチョコレート,1129.5,1355,305.0,344498.0
2025-10-20,5,Ｍアーモンドチョコレート,1188.04,1426,305.0,362352.0
2025-10-21,5,Ｍアーモンドチョコレート,1134.02,1361,305.0,345876.0
2025-10-15,5,龍角散ののどすっきりタブ,1209.85,1452,200.0,241970.0
2025-10-16,5,龍角散ののどすっきりタブ,1182.98,1420,200.0,236596.0
2025-10-17,5,龍角散ののどすっきりタブ,1181.66,1418,200.0,236332.0
2025-10-18,5,龍角散ののどすっきりタブ,1264.53,1517,200.0,252906.0
2025-10-19,5,龍角散ののどすっきりタブ,1129.5,1355,200.0,225900.0
2025-10-20,5,龍角散ののどすっきりタブ,1188.04,1426,200.0,237608.0
2025-10-21,5,龍角散ののどすっきりタブ,1134.02,1361,200.0,226804.0
2025-10-15,5,忍者めし鋼グレープ味,1209.85,1452,148.0,179058.0
2025-10-16,5,忍者めし鋼グレープ味,1182.98,1420,148.0,175081.0
2025-10-17,5,忍者めし鋼グレープ味,1181.66,1418,148.0,174886.0
2025-10-18,5,忍者めし鋼グレープ味,1264.53,1517,148.0,187150.0
2025-10-19,5,忍者めし鋼グレープ味,1129.5,1355,148.0,167166.0
2025-10-20,5,忍者めし鋼グレープ味,1188.04,1426,148.0,175830.0
2025-10-21,5,忍者めし鋼グレープ味,1134.02,1361,148.0,167835.0
2025-10-15,5,◎もちもちくるみパン,1209.85,1452,128.0,154861.0
2025-10-16,5,◎もちもちくるみパン,1182.98,1420,128.0,151421.0
2025-10-17,5,◎もちもちくるみパン,1181.66,1418,128.0,151252.0
2025-10-18,5,◎もちもちくるみパン,1264.53,1517,128.0,161860.0
2025-10-19,5,◎もちもちくるみパン,1129.5,1355,128.0,144576.0
2025-10-20,5,◎もちもちくるみパン,1188.04,1426,128.0,152069.0
2025-10-21,5,◎もちもちくるみパン,1134.02,1361,128.0,145155.0
2025-10-15,5,ｉｎゼリーエネルギー,1209.85,1452,210.0,254068.0
2025-10-16,5,ｉｎゼリーエネルギー,1182.98,1420,210.0,248426.0
2025-10-17,5,ｉｎゼリーエネルギー,1181.66,1418,210.0,248149.0
2025-10-18,5,ｉｎゼリーエネルギー,1264.53,1517,210.0,265551.0
