日付,店舗ID,商品ID,予測販売数量,発注数量,単価,予測売上金額
2025-10-15,13,しらすおむすび,1209.85,1452,165.0,199625.0
2025-10-16,13,しらすおむすび,1162.0,1394,165.0,191730.0
2025-10-17,13,しらすおむすび,1221.29,1466,165.0,201513.0
2025-10-18,13,しらすおむすび,1280.11,1536,165.0,211218.0
2025-10-19,13,しらすおむすび,1134.36,1361,165.0,187169.0
2025-10-20,13,しらすおむすび,1196.33,1436,165.0,197394.0
2025-10-21,13,しらすおむすび,1142.61,1371,165.0,188531.0
2025-10-15,13,Ｍアーモンドチョコレート,1209.85,1452,305.0,369004.0
2025-10-16,13,Ｍアーモンドチョコレート,1162.0,1394,305.0,354410.0
2025-10-17,13,Ｍアーモンドチョコレート,1221.29,1466,305.0,372493.0
2025-10-18,13,Ｍアーモンドチョコレート,1280.11,1536,305.0,390434.0
2025-10-19,13,Ｍアーモンドチョコレート,1134.36,1361,305.0,345980.0
2025-10-20,13,Ｍアーモンドチョコレート,1196.33,1436,305.0,364881.0
2025-10-21,13,Ｍアーモンドチョコレート,1142.61,1371,305.0,348496.0
2025-10-15,13,龍角散ののどすっきりタブ,1209.85,1452,200.0,241970.0
2025-10-16,13,龍角散ののどすっきりタブ,1162.0,1394,200.0,232400.0
2025-10-17,13,龍角散ののどすっきりタブ,1221.29,1466,200.0,244258.0
2025-10-18,13,龍角散ののどすっきりタブ,1280.11,1536,200.0,256022.0
2025-10-19,13,龍角散ののどすっきりタブ,1134.36,1361,200.0,226872.0
2025-10-20,13,龍角散ののどすっきりタブ,1196.33,1436,200.0,239266.0
2025-10-21,13,龍角散ののどすっきりタブ,1142.61,1371,200.0,228522.0
2025-10-15,13,忍者めし鋼グレープ味,1209.85,1452,148.0,179058.0
2025-10-16,13,忍者めし鋼グレープ味,1162.0,1394,148.0,171976.0
2025-10-17,13,忍者めし鋼グレープ味,1221.29,1466,148.0,180751.0
2025-10-18,13,忍者めし鋼グレープ味,1280.11,1536,148.0,189456.0
