日付,店舗ID,商品ID,予測販売数量,発注数量,単価,予測売上金額
2025-10-19,1,しらすおむすび,1130.19,1356,165.0,186481.0
2025-10-19,1,Ｍアーモンドチョコレート,1130.19,1356,305.0,344708.0
2025-10-19,1,龍角散ののどすっきりタブ,1130.19,1356,200.0,226038.0
2025-10-19,1,忍者めし鋼グレープ味,1130.19,1356,148.0,167268.0
2025-10-19,1,◎もちもちくるみパン,1130.19,1356,128.0,144664.0
2025-10-19,1,ｉｎゼリーエネルギー,1130.19,1356,210.0,237340.0
2025-10-19,1,◎白生クロワッサン（ダブ,1130.19,1356,156.0,176310.0
2025-10-19,1,モンスター　リッパー,1130.19,1356,213.0,240730.0
2025-10-19,1,◎レモン香るティーソーダ,1130.19,1356,130.0,146925.0
2025-10-19,1,カルピス　ひんやりライチ,1130.19,1356,160.0,180830.0
2025-10-19,1,カルピスウォーター５００,1130.19,1356,160.0,180830.0
2025-10-19,1,トロピカーナアップル,1130.19,1356,120.0,135623.0
2025-10-19,1,ミンティアＢカルピス,1130.19,1356,211.0,238470.0
2025-10-19,1,◎ボディＰレモンミント,1130.19,1356,350.0,395566.0
2025-10-19,1,薬用リップスティック,1130.19,1356,299.0,337927.0
2025-10-19,1,さらさらシートクール,1130.19,1356,295.0,333406.0
2025-10-19,1,◎のむＹＧアサイーボウル,1130.19,1356,184.0,207955.0
2025-10-19,1,Ｚｅｒｏシート携帯,1130.19,1356,328.0,370702.0
2025-10-19,1,レッドブルエナジー２５０,1130.19,1356,198.0,223778.0
2025-10-19,1,ペパーミント１００ＭＬ,1130.19,1356,200.0,226038.0
2025-10-19,1,ヘアリングゴム黒,1130.19,1356,200.0,226038.0
2025-10-19,1,１日分鉄分のむヨーグルト,1130.19,1356,145.0,163878.0
2025-10-19,1,ザバスミルクココア風味,1130.19,1356,181.0,204564.0
2025-10-19,1,イーラインマスクベージュ,1130.19,1356,299.0,337927.0
2025-10-19,1,ブルガリアＹＯ　苺,1130.19,1356,158.0,178570.0
2025-10-19,1,◎カフェラテレギュラー,1130.19,1356,181.0,204564.0
2025-10-19,1,金のミルクキャンディ,1130.19,1356,221.0,249772.0
2025-10-19,1,ミンティアＢリフレッシュ,1130.19,1356,211.0,238470.0
2025-10-19,1,邪払のど飴,1130.19,1356,258.0,291589.0
2025-10-19,1,◎生コッペパン（たまご）,1130.19,1356,128.0,144664.0
2025-10-19,1,キレートクエン酸ゼリー,1130.19,1356,210.0,237340.0
2025-10-19,1,◎もっち歩き（チョコ）,1130.19,1356,125.0,141274.0
2025-10-19,1,ミンティアワイルド＆クー,1130.19,1356,105.0,118670.0
2025-10-19,1,アーモンドＣ香ばしＰＪ,1130.19,1356,175.0,197783.0
2025-10-19,1,ミンティアＢクリスタル,1130.19,1356,211.0,238470.0
2025-10-19,1,ブラックＴひとくちサイズ,1130.19,1356,120.0,135623.0
2025-10-19,1,ジャムグミいちご,1130.19,1356,182.0,205695.0
2025-10-19,1,ぷにキャラグミちいかわ,1130.19,1356,218.0,246381.0
2025-10-19,1,ソルベットグミ白桃味,1130.19,1356,140.0,158227.0
2025-10-19,1,つぶグミカタイソーダ,1130.19,1356,168.0,189872.0
2025-10-19,1,たべっ子グミパイナップル,1130.19,1356,200.0,226038.0
2025-10-19,1,おとうふくんグミ,1130.19,1356,161.0,181961.0
2025-10-19,1,あの日夢見た雲グミ,1130.19,1356,171.0,193262.0
2025-10-19,1,ピュレグミなつももソーダ,1130.19,1356,150.0,169528.0
2025-10-19,1,ポケぷに,1130.19,1356,218.0,246381.0
2025-10-19,1,龍角散のど飴ｍａｘＳＴ,1130.19,1356,160.0,180830.0
2025-10-19,1,忍者めし巨峰,1130.19,1356,125.0,141274.0
2025-10-19,1,即攻元気ゼリー,1130.19,1356,204.0,230559.0
2025-10-19,1,龍角散のど飴スティック,1130.19,1356,140.0,158227.0
2025-10-19,1,のど飴,1130.19,1356,124.0,140144.0
2025-10-19,1,忍者めし鋼マスカット味,1130.19,1356,148.0,167268.0
