日付,店舗ID,商品ID,予測販売数量,発注数量,単価,予測売上金額
2025-10-15,11,しらすおむすび,1209.85,1452,165.0,199625.0
2025-10-16,11,しらすおむすび,1162.0,1394,165.0,191730.0
2025-10-17,11,しらすおむすび,1180.88,1417,165.0,194845.0
2025-10-18,11,しらすおむすび,1280.11,1536,165.0,211218.0
2025-10-19,11,しらすおむすび,1134.36,1361,165.0,187169.0
2025-10-20,11,しらすおむすび,1169.18,1403,165.0,192915.0
2025-10-21,11,しらすおむすび,1142.61,1371,165.0,188531.0
2025-10-15,11,Ｍアーモンドチョコレート,1209.85,1452,305.0,369004.0
2025-10-16,11,Ｍアーモンドチョコレート,1162.0,1394,305.0,354410.0
2025-10-17,11,Ｍアーモンドチョコレート,1180.88,1417,305.0,360168.0
2025-10-18,11,Ｍアーモンドチョコレート,1280.11,1536,305.0,390434.0
2025-10-19,11,Ｍアーモンドチョコレート,1134.36,1361,305.0,345980.0
2025-10-20,11,Ｍアーモンドチョコレート,1169.18,1403,305.0,356600.0
2025-10-21,11,Ｍアーモンドチョコレート,1142.61,1371,305.0,348496.0
2025-10-15,11,龍角散ののどすっきりタブ,1209.85,1452,200.0,241970.0
2025-10-16,11,龍角散ののどすっきりタブ,1162.0,1394,200.0,232400.0
2025-10-17,11,龍角散ののどすっきりタブ,1180.88,1417,200.0,236176.0
2025-10-18,11,龍角散ののどすっきりタブ,1280.11,1536,200.0,256022.0
2025-10-19,11,龍角散ののどすっきりタブ,1134.36,1361,200.0,226872.0
2025-10-20,11,龍角散ののどすっきりタブ,1169.18,1403,200.0,233836.0
2025-10-21,11,龍角散ののどすっきりタブ,1142.61,1371,200.0,228522.0
2025-10-15,11,忍者めし鋼グレープ味,1209.85,1452,148.0,179058.0
2025-10-16,11,忍者めし鋼グレープ味,1162.0,1394,148.0,171976.0
2025-10-17,11,忍者めし鋼グレープ味,1180.88,1417,148.0,174770.0
2025-10-18,11,忍者めし鋼グレープ味,1280.11,1536,148.0,189456.0
2025-10-19,11,忍者めし鋼グレープ味,1134.36,1361,148.0,167885.0
2025-10-20,11,忍者めし鋼グレープ味,1169.18,1403,148.0,173039.0
2025-10-21,11,忍者めし鋼グレープ味,1142.61,1371,148.0,169106.0
2025-10-15,11,◎もちもちくるみパン,1209.85,1452,128.0,154861.0
2025-10-16,11,◎もちもちくるみパン,1162.0,1394,128.0,148736.0
2025-10-17,11,◎もちもちくるみパン,1180.88,1417,128.0,151153.0
2025-10-18,11,◎もちもちくるみパン,1280.11,1536,128.0,163854.0
2025-10-19,11,◎もちもちくるみパン,1134.36,1361,128.0,145198.0
2025-10-20,11,◎もちもちくるみパン,1169.18,1403,128.0,149655.0
2025-10-21,11,◎もちもちくるみパン,1142.61,1371,128.0,146254.0
2025-10-15,11,ｉｎゼリーエネルギー,1209.85,1452,210.0,254068.0
2025-10-16,11,ｉｎゼリーエネルギー,1162.0,1394,210.0,244020.0
2025-10-17,11,ｉｎゼリーエネルギー,1180.88,1417,210.0,247985.0
2025-10-18,11,ｉｎゼリーエネルギー,1280.11,1536,210.0,268823.0
2025-10-19,11,ｉｎゼリーエネルギー,1134.36,1361,210.0,238216.0
2025-10-20,11,ｉｎゼリーエネルギー,1169.18,1403,210.0,245528.0
2025-10-21,11,ｉｎゼリーエネルギー,1142.61,1371,210.0,239948.0
2025-10-15,11,◎白生クロワッサン（ダブ,1209.85,1452,156.0,188737.0
2025-10-16,11,◎白生クロワッサン（ダブ,1162.0,1394,156.0,181272.0
2025-10-17,11,◎白生クロワッサン（ダブ,1180.88,1417,156.0,184217.0
2025-10-18,11,◎白生クロワッサン（ダブ,1280.11,1536,156.0,199697.0
2025-10-19,11,◎白生クロワッサン（ダブ,1134.36,1361,156.0,176960.0
2025-10-20,11,◎白生クロワッサン（ダブ,1169.18,1403,156.0,182392.0
2025-10-21,11,◎白生クロワッサン（ダブ,1142.61,1371,156.0,178247.0
2025-10-15,11,モンスター　リッパー,1209.85,1452,213.0,257698.0
2025-10-16,11,モンスター　リッパー,1162.0,1394,213.0,247506.0
2025-10-17,11,モンスター　リッパー,1180.88,1417,213.0,251527.0
2025-10-18,11,モンスター　リッパー,1280.11,1536,213.0,272663.0
2025-10-19,11,モンスター　リッパー,1134.36,1361,213.0,241619.0
2025-10-20,11,モンスター　リッパー,1169.18,1403,213.0,249035.0
2025-10-21,11,モンスター　リッパー,1142.61,1371,213.0,243376.0
2025-10-15,11,◎レモン香るティーソーダ,1209.85,1452,130.0,157280.0
2025-10-16,11,◎レモン香るティーソーダ,1162.0,1394,130.0,151060.0
2025-10-17,11,◎レモン香るティーソーダ,1180.88,1417,130.0,153514.0
2025-10-18,11,◎レモン香るティーソーダ,1280.11,1536,130.0,166414.0
2025-10-19,11,◎レモン香るティーソーダ,1134.36,1361,130.0,147467.0
2025-10-20,11,◎レモン香るティーソーダ,1169.18,1403,130.0,151993.0
2025-10-21,11,◎レモン香るティーソーダ,1142.61,1371,130.0,148539.0
2025-10-15,11,カルピス　ひんやりライチ,1209.85,1452,160.0,193576.0
2025-10-16,11,カルピス　ひんやりライチ,1162.0,1394,160.0,185920.0
2025-10-17,11,カルピス　ひんやりライチ,1180.88,1417,160.0,188941.0
2025-10-18,11,カルピス　ひんやりライチ,1280.11,1536,160.0,204818.0
2025-10-19,11,カルピス　ひんやりライチ,1134.36,1361,160.0,181498.0
2025-10-20,11,カルピス　ひんやりライチ,1169.18,1403,160.0,187069.0
2025-10-21,11,カルピス　ひんやりライチ,1142.61,1371,160.0,182818.0
2025-10-15,11,カルピスウォーター５００,1209.85,1452,160.0,193576.0
2025-10-16,11,カルピスウォーター５００,1162.0,1394,160.0,185920.0
2025-10-17,11,カルピスウォーター５００,1180.88,1417,160.0,188941.0
2025-10-18,11,カルピスウォーター５００,1280.11,1536,160.0,204818.0
2025-10-19,11,カルピスウォーター５００,1134.36,1361,160.0,181498.0
2025-10-20,11,カルピスウォーター５００,1169.18,1403,160.0,187069.0
2025-10-21,11,カルピスウォーター５００,1142.61,1371,160.0,182818.0
2025-10-15,11,トロピカーナアップル,1209.85,1452,120.0,145182.0
2025-10-16,11,トロピカーナアップル,1162.0,1394,120.0,139440.0
2025-10-17,11,トロピカーナアップル,1180.88,1417,120.0,141706.0
2025-10-18,11,トロピカーナアップル,1280.11,1536,120.0,153613.0
2025-10-19,11,トロピカーナアップル,1134.36,1361,120.0,136123.0
2025-10-20,11,トロピカーナアップル,1169.18,1403,120.0,140302.0
2025-10-21,11,トロピカーナアップル,1142.61,1371,120.0,137113.0
2025-10-15,11,ミンティアＢカルピス,1209.85,1452,211.0,255278.0
2025-10-16,11,ミンティアＢカルピス,1162.0,1394,211.0,245182.0
2025-10-17,11,ミンティアＢカルピス,1180.88,1417,211.0,249166.0
2025-10-18,11,ミンティアＢカルピス,1280.11,1536,211.0,270103.0
2025-10-19,11,ミンティアＢカルピス,1134.36,1361,211.0,239350.0
2025-10-20,11,ミンティアＢカルピス,1169.18,1403,211.0,246697.0
2025-10-21,11,ミンティアＢカルピス,1142.61,1371,211.0,241091.0
2025-10-15,11,◎ボディＰレモンミント,1209.85,1452,350.0,423447.0
2025-10-16,11,◎ボディＰレモンミント,1162.0,1394,350.0,406700.0
2025-10-17,11,◎ボディＰレモンミント,1180.88,1417,350.0,413308.0
2025-10-18,11,◎ボディＰレモンミント,1280.11,1536,350.0,448038.0
2025-10-19,11,◎ボディＰレモンミント,1134.36,1361,350.0,397026.0
2025-10-20,11,◎ボディＰレモンミント,1169.18,1403,350.0,409213.0
2025-10-21,11,◎ボディＰレモンミント,1142.61,1371,350.0,399913.0
