日付,店舗ID,商品ID,予測販売数量,発注数量,単価,予測売上金額
2025-10-15,12,しらすおむすび,1209.85,1452,165.0,199625.0
2025-10-16,12,しらすおむすび,1182.98,1420,165.0,195192.0
2025-10-17,12,しらすおむすび,1180.88,1417,165.0,194845.0
2025-10-18,12,しらすおむすび,1280.11,1536,165.0,211218.0
2025-10-19,12,しらすおむすび,1134.36,1361,165.0,187169.0
2025-10-20,12,しらすおむすび,1169.18,1403,165.0,192915.0
2025-10-21,12,しらすおむすび,1134.02,1361,165.0,187113.0
2025-10-15,12,Ｍアーモンドチョコレート,1209.85,1452,305.0,369004.0
2025-10-16,12,Ｍアーモンドチョコレート,1182.98,1420,305.0,360809.0
2025-10-17,12,Ｍアーモンドチョコレート,1180.88,1417,305.0,360168.0
2025-10-18,12,Ｍアーモンドチョコレート,1280.11,1536,305.0,390434.0
2025-10-19,12,Ｍアーモンドチョコレート,1134.36,1361,305.0,345980.0
2025-10-20,12,Ｍアーモンドチョコレート,1169.18,1403,305.0,356600.0
2025-10-21,12,Ｍアーモンドチョコレート,1134.02,1361,305.0,345876.0
2025-10-15,12,龍角散ののどすっきりタブ,1209.85,1452,200.0,241970.0
2025-10-16,12,龍角散ののどすっきりタブ,1182.98,1420,200.0,236596.0
2025-10-17,12,龍角散ののどすっきりタブ,1180.88,1417,200.0,236176.0
2025-10-18,12,龍角散ののどすっきりタブ,1280.11,1536,200.0,256022.0
2025-10-19,12,龍角散ののどすっきりタブ,1134.36,1361,200.0,226872.0
2025-10-20,12,龍角散ののどすっきりタブ,1169.18,1403,200.0,233836.0
2025-10-21,12,龍角散ののどすっきりタブ,1134.02,1361,200.0,226804.0
2025-10-15,12,忍者めし鋼グレープ味,1209.85,1452,148.0,179058.0
2025-10-16,12,忍者めし鋼グレープ味,1182.98,1420,148.0,175081.0
2025-10-17,12,忍者めし鋼グレープ味,1180.88,1417,148.0,174770.0
2025-10-18,12,忍者めし鋼グレープ味,1280.11,1536,148.0,189456.0
2025-10-19,12,忍者めし鋼グレープ味,1134.36,1361,148.0,167885.0
2025-10-20,12,忍者めし鋼グレープ味,1169.18,1403,148.0,173039.0
2025-10-21,12,忍者めし鋼グレープ味,1134.02,1361,148.0,167835.0
2025-10-15,12,◎もちもちくるみパン,1209.85,1452,128.0,154861.0
2025-10-16,12,◎もちもちくるみパン,1182.98,1420,128.0,151421.0
2025-10-17,12,◎もちもちくるみパン,1180.88,1417,128.0,151153.0
2025-10-18,12,◎もちもちくるみパン,1280.11,1536,128.0,163854.0
2025-10-19,12,◎もちもちくるみパン,1134.36,1361,128.0,145198.0
2025-10-20,12,◎もちもちくるみパン,1169.18,1403,128.0,149655.0
2025-10-21,12,◎もちもちくるみパン,1134.02,1361,128.0,145155.0
2025-10-15,12,ｉｎゼリーエネルギー,1209.85,1452,210.0,254068.0
2025-10-16,12,ｉｎゼリーエネルギー,1182.98,1420,210.0,248426.0
2025-10-17,12,ｉｎゼリーエネルギー,1180.88,1417,210.0,247985.0
2025-10-18,12,ｉｎゼリーエネルギー,1280.11,1536,210.0,268823.0
2025-10-19,12,ｉｎゼリーエネルギー,1134.36,1361,210.0,238216.0
2025-10-20,12,ｉｎゼリーエネルギー,1169.18,1403,210.0,245528.0
2025-10-21,12,ｉｎゼリーエネルギー,1134.02,1361,210.0,238144.0
2025-10-15,12,◎白生クロワッサン（ダブ,1209.85,1452,156.0,188737.0
2025-10-16,12,◎白生クロワッサン（ダブ,1182.98,1420,156.0,184545.0
2025-10-17,12,◎白生クロワッサン（ダブ,1180.88,1417,156.0,184217.0
2025-10-18,12,◎白生クロワッサン（ダブ,1280.11,1536,156.0,199697.0
2025-10-19,12,◎白生クロワッサン（ダブ,1134.36,1361,156.0,176960.0
2025-10-20,12,◎白生クロワッサン（ダブ,1169.18,1403,156.0,182392.0
2025-10-21,12,◎白生クロワッサン（ダブ,1134.02,1361,156.0,176907.0
2025-10-15,12,モンスター　リッパー,1209.85,1452,213.0,257698.0
2025-10-16,12,モンスター　リッパー,1182.98,1420,213.0,251975.0
2025-10-17,12,モンスター　リッパー,1180.88,1417,213.0,251527.0
2025-10-18,12,モンスター　リッパー,1280.11,1536,213.0,272663.0
2025-10-19,12,モンスター　リッパー,1134.36,1361,213.0,241619.0
2025-10-20,12,モンスター　リッパー,1169.18,1403,213.0,249035.0
2025-10-21,12,モンスター　リッパー,1134.02,1361,213.0,241546.0
2025-10-15,12,◎レモン香るティーソーダ,1209.85,1452,130.0,157280.0
2025-10-16,12,◎レモン香るティーソーダ,1182.98,1420,130.0,153787.0
2025-10-17,12,◎レモン香るティーソーダ,1180.88,1417,130.0,153514.0
2025-10-18,12,◎レモン香るティーソーダ,1280.11,1536,130.0,166414.0
2025-10-19,12,◎レモン香るティーソーダ,1134.36,1361,130.0,147467.0
2025-10-20,12,◎レモン香るティーソーダ,1169.18,1403,130.0,151993.0
2025-10-21,12,◎レモン香るティーソーダ,1134.02,1361,130.0,147423.0
2025-10-15,12,カルピス　ひんやりライチ,1209.85,1452,160.0,193576.0
2025-10-16,12,カルピス　ひんやりライチ,1182.98,1420,160.0,189277.0
2025-10-17,12,カルピス　ひんやりライチ,1180.88,1417,160.0,188941.0
2025-10-18,12,カルピス　ひんやりライチ,1280.11,1536,160.0,204818.0
2025-10-19,12,カルピス　ひんやりライチ,1134.36,1361,160.0,181498.0
