日付,店舗ID,商品ID,予測販売数量,発注数量,単価,予測売上金額
2025-10-15,1,しらすおむすび,1213.79,1457,165.0,200275.0
2025-10-16,1,しらすおむすび,1162.0,1394,165.0,191730.0
2025-10-17,1,しらすおむすび,1221.29,1466,165.0,201513.0
2025-10-18,1,しらすおむすび,1280.11,1536,165.0,211218.0
2025-10-19,1,しらすおむすび,1130.19,1356,165.0,186481.0
2025-10-20,1,しらすおむすび,1175.66,1411,165.0,193984.0
2025-10-21,1,しらすおむすび,1142.61,1371,165.0,188531.0
2025-10-15,1,Ｍアーモンドチョコレート,1213.79,1457,305.0,370206.0
2025-10-16,1,Ｍアーモンドチョコレート,1162.0,1394,305.0,354410.0
2025-10-17,1,Ｍアーモンドチョコレート,1221.29,1466,305.0,372493.0
2025-10-18,1,Ｍアーモンドチョコレート,1280.11,1536,305.0,390434.0
2025-10-19,1,Ｍアーモンドチョコレート,1130.19,1356,305.0,344708.0
2025-10-20,1,Ｍアーモンドチョコレート,1175.66,1411,305.0,358576.0
2025-10-21,1,Ｍアーモンドチョコレート,1142.61,1371,305.0,348496.0
2025-10-15,1,龍角散ののどすっきりタブ,1213.79,1457,200.0,242758.0
2025-10-16,1,龍角散ののどすっきりタブ,1162.0,1394,200.0,232400.0
2025-10-17,1,龍角散ののどすっきりタブ,1221.29,1466,200.0,244258.0
2025-10-18,1,龍角散ののどすっきりタブ,1280.11,1536,200.0,256022.0
2025-10-19,1,龍角散ののどすっきりタブ,1130.19,1356,200.0,226038.0
2025-10-20,1,龍角散ののどすっきりタブ,1175.66,1411,200.0,235132.0
2025-10-21,1,龍角散ののどすっきりタブ,1142.61,1371,200.0,228522.0
2025-10-15,1,忍者めし鋼グレープ味,1213.79,1457,148.0,179641.0
2025-10-16,1,忍者めし鋼グレープ味,1162.0,1394,148.0,171976.0
2025-10-17,1,忍者めし鋼グレープ味,1221.29,1466,148.0,180751.0
2025-10-18,1,忍者めし鋼グレープ味,1280.11,1536,148.0,189456.0
2025-10-19,1,忍者めし鋼グレープ味,1130.19,1356,148.0,167268.0
2025-10-20,1,忍者めし鋼グレープ味,1175.66,1411,148.0,173998.0
2025-10-21,1,忍者めし鋼グレープ味,1142.61,1371,148.0,169106.0
