日付,店舗ID,商品ID,予測販売数量,発注数量,単価,予測売上金額
2025-10-15,1,しらすおむすび,1213.79,1457,165.0,200275.0
2025-10-15,1,Ｍアーモンドチョコレート,1213.79,1457,305.0,370206.0
2025-10-15,1,龍角散ののどすっきりタブ,1213.79,1457,200.0,242758.0
2025-10-15,1,忍者めし鋼グレープ味,1213.79,1457,148.0,179641.0
2025-10-15,1,◎もちもちくるみパン,1213.79,1457,128.0,155365.0
2025-10-15,1,ｉｎゼリーエネルギー,1213.79,1457,210.0,254896.0
2025-10-15,1,◎白生クロワッサン（ダブ,1213.79,1457,156.0,189351.0
2025-10-15,1,モンスター　リッパー,1213.79,1457,213.0,258537.0
2025-10-15,1,◎レモン香るティーソーダ,1213.79,1457,130.0,157793.0
2025-10-15,1,カルピス　ひんやりライチ,1213.79,1457,160.0,194206.0
2025-10-15,1,カルピスウォーター５００,1213.79,1457,160.0,194206.0
2025-10-15,1,トロピカーナアップル,1213.79,1457,120.0,145655.0
2025-10-15,1,ミンティアＢカルピス,1213.79,1457,211.0,256110.0
2025-10-15,1,◎ボディＰレモンミント,1213.79,1457,350.0,424826.0
2025-10-15,1,薬用リップスティック,1213.79,1457,299.0,362923.0
2025-10-15,1,さらさらシートクール,1213.79,1457,295.0,358068.0
2025-10-15,1,◎のむＹＧアサイーボウル,1213.79,1457,184.0,223337.0
2025-10-15,1,Ｚｅｒｏシート携帯,1213.79,1457,328.0,398123.0
2025-10-15,1,レッドブルエナジー２５０,1213.79,1457,198.0,240330.0
2025-10-15,1,ペパーミント１００ＭＬ,1213.79,1457,200.0,242758.0
2025-10-15,1,ヘアリングゴム黒,1213.79,1457,200.0,242758.0
2025-10-15,1,１日分鉄分のむヨーグルト,1213.79,1457,145.0,176000.0
2025-10-15,1,ザバスミルクココア風味,1213.79,1457,181.0,219696.0
2025-10-15,1,イーラインマスクベージュ,1213.79,1457,299.0,362923.0
2025-10-15,1,ブルガリアＹＯ　苺,1213.79,1457,158.0,191779.0
2025-10-15,1,◎カフェラテレギュラー,1213.79,1457,181.0,219696.0
2025-10-15,1,金のミルクキャンディ,1213.79,1457,221.0,268248.0
2025-10-15,1,ミンティアＢリフレッシュ,1213.79,1457,211.0,256110.0
2025-10-15,1,邪払のど飴,1213.79,1457,258.0,313158.0
2025-10-15,1,◎生コッペパン（たまご）,1213.79,1457,128.0,155365.0
2025-10-15,1,キレートクエン酸ゼリー,1213.79,1457,210.0,254896.0
2025-10-15,1,◎もっち歩き（チョコ）,1213.79,1457,125.0,151724.0
2025-10-15,1,ミンティアワイルド＆クー,1213.79,1457,105.0,127448.0
2025-10-15,1,アーモンドＣ香ばしＰＪ,1213.79,1457,175.0,212413.0
2025-10-15,1,ミンティアＢクリスタル,1213.79,1457,211.0,256110.0
2025-10-15,1,ブラックＴひとくちサイズ,1213.79,1457,120.0,145655.0
2025-10-15,1,ジャムグミいちご,1213.79,1457,182.0,220910.0
2025-10-15,1,ぷにキャラグミちいかわ,1213.79,1457,218.0,264606.0
2025-10-15,1,ソルベットグミ白桃味,1213.79,1457,140.0,169931.0
2025-10-15,1,つぶグミカタイソーダ,1213.79,1457,168.0,203917.0
2025-10-15,1,たべっ子グミパイナップル,1213.79,1457,200.0,242758.0
2025-10-15,1,おとうふくんグミ,1213.79,1457,161.0,195420.0
2025-10-15,1,あの日夢見た雲グミ,1213.79,1457,171.0,207558.0
2025-10-15,1,ピュレグミなつももソーダ,1213.79,1457,150.0,182068.0
2025-10-15,1,ポケぷに,1213.79,1457,218.0,264606.0
2025-10-15,1,龍角散のど飴ｍａｘＳＴ,1213.79,1457,160.0,194206.0
2025-10-15,1,忍者めし巨峰,1213.79,1457,125.0,151724.0
2025-10-15,1,即攻元気ゼリー,1213.79,1457,204.0,247613.0
2025-10-15,1,龍角散のど飴スティック,1213.79,1457,140.0,169931.0
2025-10-15,1,のど飴,1213.79,1457,124.0,150510.0
2025-10-15,1,忍者めし鋼マスカット味,1213.79,1457,148.0,179641.0
2025-10-15,1,◎ドライマンゴー,1213.79,1457,276.0,335006.0
2025-10-15,1,◎カリカリ梅無着色小袋,1213.79,1457,184.0,223337.0
2025-10-15,1,大粒ラムネ,1213.79,1457,133.0,161434.0
2025-10-15,1,牛乳パン,1213.79,1457,230.0,279172.0
2025-10-15,1,１本満足プロテイン　ＷＴ,1213.79,1457,171.0,207558.0
2025-10-15,1,シルキータッチ大きめ,1213.79,1457,398.0,483088.0
2025-10-15,1,スマートカラーグレー,1213.79,1457,566.0,687005.0
2025-10-15,1,◎しっとりやわらか食パ６,1213.79,1457,158.0,191779.0
2025-10-15,1,◎ファミマ・ザ・クリーム,1213.79,1457,128.0,155365.0
2025-10-15,1,たまごサンド,1213.79,1457,265.0,321654.0
2025-10-15,1,具だくさん！チキン南蛮,1213.79,1457,221.0,268248.0
2025-10-15,1,具だくさん！チャーシュー,1213.79,1457,215.0,260965.0
2025-10-15,1,キャメＭマスカットＰＬ,1213.79,1457,455.0,552274.0
2025-10-15,1,◎ソフトなチーズクリーム,1213.79,1457,135.0,163862.0
2025-10-15,1,キャメＭベリープルーム,1213.79,1457,455.0,552274.0
2025-10-15,1,◎バタークロワッサンメロ,1213.79,1457,147.0,178427.0
2025-10-15,1,キャメＭコールドプルーム,1213.79,1457,455.0,552274.0
2025-10-15,1,◎チョコチップスナック６,1213.79,1457,135.0,163862.0
2025-10-15,1,◎ファミマ・ザ・メロンパ,1213.79,1457,128.0,155365.0
2025-10-15,1,ラーククラシックＭ,1213.79,1457,491.0,595971.0
2025-10-15,1,ラッキーＥＸカット１４,1213.79,1457,428.0,519502.0
2025-10-15,1,ラッキーＢチルベリー８,1213.79,1457,428.0,519502.0
2025-10-15,1,◎生コッペパン（コロッケ,1213.79,1457,167.0,202703.0
2025-10-15,1,ラッキーストライク,1213.79,1457,564.0,684578.0
2025-10-15,1,◎生コッペパン（焼きそば,1213.79,1457,167.0,202703.0
2025-10-15,1,ラッキーシガリロＳライト,1213.79,1457,428.0,519502.0
2025-10-15,1,◎白生コッペパン（トリプ,1213.79,1457,147.0,178427.0
2025-10-15,1,◎ひと口もち食感チーズ（,1213.79,1457,149.0,180855.0
2025-10-15,1,マルボロ・メン８Ｂ,1213.79,1457,546.0,662729.0
2025-10-15,1,◎もっちパン（ミート＆チ,1213.79,1457,121.0,146869.0
2025-10-15,1,◎お肉たっぷりメンチカツ,1213.79,1457,184.0,223337.0
2025-10-15,1,◎天然水新潟県津南６００,1213.79,1457,110.0,133517.0
2025-10-15,1,◎ミニクリームパン５個入,1213.79,1457,149.0,180855.0
2025-10-15,1,◎ジャスミン茶６００,1213.79,1457,110.0,133517.0
2025-10-15,1,クリームたい焼きカスター,1213.79,1457,165.0,200275.0
2025-10-15,1,アスティーグ肌　Ｍ,1213.79,1457,600.0,728274.0
2025-10-15,1,◎のむヨーグルトプレーン,1213.79,1457,149.0,180855.0
2025-10-15,1,ルーロー飯おむすび,1213.79,1457,194.0,235475.0
2025-10-15,1,グリーンダカラ,1213.79,1457,141.0,171144.0
2025-10-15,1,ウィルキンソン　タンサン,1213.79,1457,112.0,135944.0
2025-10-15,1,チョコラＢＢハイパー,1213.79,1457,380.0,461240.0
2025-10-15,1,◎発酵バター香るチョコク,1213.79,1457,147.0,178427.0
2025-10-15,1,◎ダブルチョコデニッシュ,1213.79,1457,128.0,155365.0
2025-10-15,1,ウコンの力ドリンク,1213.79,1457,191.0,231834.0
2025-10-15,1,リポビタンＤ,1213.79,1457,164.0,199062.0
2025-10-15,1,◎ゴロゴロチョコのクッキ,1213.79,1457,138.0,167503.0
2025-10-15,1,ジョージア　カフェモカ,1213.79,1457,168.0,203917.0
2025-10-15,1,ジョージア　カフェラテ,1213.79,1457,159.0,192993.0
2025-10-15,1,◎しっとりケーキ（チョコ,1213.79,1457,135.0,163862.0
2025-10-15,1,ジョージア　ブラック,1213.79,1457,149.0,180855.0
2025-10-15,1,◎白生フランスパン（つぶ,1213.79,1457,156.0,189351.0
2025-10-15,1,◎天然水長野県安曇野２Ｌ,1213.79,1457,112.0,135944.0
2025-10-15,1,午後の紅茶　レモンティー,1213.79,1457,160.0,194206.0
