商品名,平均,標準偏差,最小,最大,中央値,変動係数_CV,需要パターン,安全在庫,発注点,推奨発注量_週間
◎あたりめ　小,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
◎いちごのクロワッサン（,7.5,4.47213595499958,1.0,18.0,6.5,0.6,通常,7.0,14.0,52.0
◎いちごモッチ,6.666666666666667,4.186144947778269,1.0,16.0,6.0,0.63,通常,7.0,14.0,47.0
◎おいものパウンドケーキ,6.6,3.3974780562730853,2.0,12.0,6.0,0.51,通常,6.0,13.0,46.0
◎おいものマドレーヌ,3.7857142857142856,2.6363894724697734,1.0,10.0,3.5,0.7,変動大,4.0,8.0,26.0
◎おこめチップスのりしお,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
◎おしゃぶり昆布,3.7222222222222223,1.9718683194279343,1.0,10.0,4.0,0.53,通常,3.0,7.0,26.0
◎おつまみかまぼこチーズ,2.1940298507462686,1.1837127770237892,0.0,6.0,2.0,0.54,通常,2.0,4.0,15.0
◎おつまみイカフライ,1.2727272727272727,0.674199862463242,1.0,4.0,1.0,0.53,通常,1.0,2.0,9.0
◎お好み焼＆塩焼そば,0.0,,0.0,0.0,0.0,,不明,,,0.0
◎お肉たっぷりメンチカツ,8.34,5.464579824017692,1.0,28.0,7.0,0.66,通常,9.0,17.0,58.0
◎きんつば,1.0625,0.4425306015783918,0.0,2.0,1.0,0.42,通常,1.0,2.0,7.0
◎こだわりのバタークッキ,1.0588235294117647,0.42874646285627216,0.0,2.0,1.0,0.4,通常,1.0,2.0,7.0
◎こだわりのフィナンシェ,3.7325581395348837,2.5595239382935406,0.0,11.0,3.0,0.69,通常,4.0,8.0,26.0
◎こだわりのフロランタン,1.6666666666666667,1.0327955589886446,1.0,3.0,1.0,0.62,通常,2.0,4.0,12.0
◎こだわりのマドレーヌ,3.142857142857143,1.889822365046136,1.0,9.0,3.0,0.6,通常,3.0,6.0,22.0
◎こだわりのワッフル,3.2954545454545454,1.7561654342324629,1.0,10.0,3.0,0.53,通常,3.0,6.0,23.0
◎しっとりやわらか食パ６,0.8888888888888888,1.3642254619787415,0.0,4.0,0.0,1.53,変動大,2.0,3.0,6.0
◎しっとりケーキ（チョコ,9.876404494382022,7.616996880062945,1.0,40.0,7.0,0.77,変動大,13.0,23.0,69.0
◎しっとりバウムクーヘン,4.103448275862069,2.685163728751095,0.0,18.0,4.0,0.65,通常,4.0,8.0,29.0
◎しみチョココーン,1.2413793103448276,0.5766388083288672,1.0,3.0,1.0,0.46,通常,1.0,2.0,9.0
◎しみ旨フレンチトースト,9.338709677419354,6.081262671914679,1.0,30.0,8.0,0.65,通常,10.0,19.0,65.0
◎たっぷりクリームデニッ,5.545454545454546,2.5815841652961535,1.0,18.0,5.5,0.47,通常,4.0,10.0,39.0
◎たっぷりマロンクリーム,12.357142857142858,8.940892597473724,2.0,32.0,11.0,0.72,変動大,15.0,27.0,86.0
◎たまご蒸しパン４個入,5.833333333333333,2.50293944839921,2.0,10.0,6.0,0.43,通常,4.0,10.0,41.0
◎ちいさなオールレーズン,1.8208955223880596,1.013923868015327,1.0,5.0,2.0,0.56,通常,2.0,4.0,13.0
◎つぶあんどら焼き,1.3414634146341464,0.6931722764782567,0.0,4.0,1.0,0.52,通常,1.0,2.0,9.0
◎つぶあんぱん北海道小豆,5.2727272727272725,2.5276483818946645,1.0,11.0,5.0,0.48,通常,4.0,9.0,37.0
◎つぶつぶいちご蒸しＣ,10.434782608695652,7.8672282687367785,1.0,27.0,10.0,0.75,変動大,13.0,23.0,73.0
◎でっかいカレーたまごパ,3.2,1.8205179796655988,1.0,8.0,3.0,0.57,通常,3.0,6.0,22.0
◎とうふとわかめ,1.3333333333333333,0.6513389472789296,1.0,3.0,1.0,0.49,通常,1.0,2.0,9.0
◎とろけるチョコミントＣ,3.0,1.9069251784911847,1.0,7.0,2.0,0.64,通常,3.0,6.0,21.0
◎とん汁,1.0526315789473684,0.22941573387056177,1.0,2.0,1.0,0.22,安定,0.0,1.0,7.0
◎どかっとテリマヨチキン,2.6,2.1313979316066587,0.0,8.0,2.0,0.82,変動大,4.0,7.0,18.0
◎どかっとパン（テリマヨ,9.6,4.702582876918355,4.0,22.0,9.0,0.49,通常,8.0,18.0,67.0
◎どかっとベーコンチーズ,8.205882352941176,6.371239410201393,2.0,35.0,6.5,0.78,変動大,10.0,18.0,57.0
◎どかっと満足パン（ベー,6.461538461538462,4.502136245076416,1.0,13.0,6.0,0.7,変動大,7.0,13.0,45.0
◎なすトマトソースグラタ,1.0,,1.0,1.0,1.0,,不明,,,7.0
◎のむヨーグルトいちご,4.32183908045977,2.7300832804128605,1.0,14.0,4.0,0.63,通常,4.0,8.0,30.0
◎のむヨーグルトパイン,2.358974358974359,1.0879042984027278,1.0,5.0,2.0,0.46,通常,2.0,4.0,17.0
◎のむヨーグルトプレーン,17.98913043478261,8.085388483422102,6.0,45.0,17.0,0.45,通常,13.0,31.0,126.0
◎のむヨーグルトメロン,3.1,1.286683937707919,2.0,6.0,3.0,0.42,通常,2.0,5.0,22.0
◎のむＹＧアサイーボウル,5.933333333333334,3.5348604067541474,2.0,15.0,6.0,0.6,通常,6.0,12.0,42.0
◎はちみつすいーとぽてと,3.6,2.7723120830300267,1.0,10.0,3.0,0.77,変動大,5.0,9.0,25.0
◎ばかうけたっぷり青のり,1.2745098039215685,0.6026087079539764,0.0,3.0,1.0,0.47,通常,1.0,2.0,9.0
◎ばんそうこう３サイズ,1.0952380952380953,0.5389584311207966,0.0,2.0,1.0,0.49,通常,1.0,2.0,8.0
◎ばんそうこうＭサイズ,2.1333333333333333,1.1547005383792517,0.0,6.0,2.0,0.54,通常,2.0,4.0,15.0
◎ひとくちこしあん大福５,1.925,1.0283943488316436,0.0,5.0,2.0,0.53,通常,2.0,4.0,13.0
◎ひとくち濃厚梅だれせん,1.1111111111111112,0.6009252125773316,0.0,2.0,1.0,0.54,通常,1.0,2.0,8.0
◎ひと口もち食感チーズ（,17.77173913043478,8.155229241116112,7.0,50.0,16.5,0.46,通常,13.0,31.0,124.0
◎ふくちゃん豚骨どんぶり,1.6666666666666667,1.1547005383792517,1.0,3.0,1.0,0.69,通常,2.0,4.0,12.0
◎ふわふわアソートリン４,6.0,,6.0,6.0,6.0,,不明,,,42.0
◎ふわもち食感のメープル,27.0,,27.0,27.0,27.0,,不明,,,189.0
◎ふんわりとしたパンケ８,3.8,2.8454440293454955,0.0,12.0,3.0,0.75,変動大,5.0,9.0,27.0
◎ふんわりもっちパン（チ,18.56140350877193,5.946239939958604,4.0,33.0,18.0,0.32,通常,10.0,29.0,130.0
◎ふんわりカステラ,1.35,0.6621642835894567,1.0,4.0,1.0,0.49,通常,1.0,2.0,9.0
◎ふんわりホットケーキ２,16.445652173913043,7.347518277943957,4.0,40.0,16.0,0.45,通常,12.0,28.0,115.0
◎ぶどうぱん（シュガーマ,8.25,5.063427482678153,1.0,22.0,6.5,0.61,通常,8.0,16.0,58.0
◎みるくバターまんじゅう,1.3157894736842106,0.5253191132035964,1.0,3.0,1.0,0.4,通常,1.0,2.0,9.0
◎もちっとつぶあんドーナ,11.552631578947368,9.534283426413966,1.0,34.0,7.5,0.83,変動大,16.0,28.0,81.0
◎もちもちくるみパン,16.76086956521739,8.12589074098638,3.0,42.0,16.0,0.48,通常,13.0,30.0,117.0
◎もちもちレモンドーナツ,2.1818181818181817,1.6854996561581048,0.0,8.0,2.0,0.77,変動大,3.0,5.0,15.0
◎もっちパン（ミート＆チ,14.934782608695652,6.938987397745283,2.0,40.0,13.5,0.46,通常,11.0,26.0,105.0
◎もっち歩き（チョコ）,15.785714285714286,8.974685150186247,1.0,32.0,14.5,0.57,通常,15.0,31.0,110.0
◎やみつき種ぬき干し梅,2.236842105263158,1.3050509165304018,1.0,7.0,2.0,0.58,通常,2.0,4.0,16.0
◎やわらか燻製さきいか,1.1304347826086956,0.45769658728016005,0.0,2.0,1.0,0.4,通常,1.0,2.0,8.0
◎りんごカスタードデニ４,5.277777777777778,3.0832670899084333,0.0,13.0,4.5,0.58,通常,5.0,10.0,37.0
◎アップルクリームデニッ,11.032967032967033,5.610408084683223,2.0,23.0,11.0,0.51,通常,9.0,20.0,77.0
◎アップル香るジャスミン,52.01086956521739,41.095571956116906,1.0,172.0,56.0,0.79,変動大,68.0,120.0,364.0
◎アールグレイクロワッサ,10.071428571428571,6.75457908565283,1.0,29.0,8.5,0.67,通常,11.0,21.0,70.0
◎オクラわかめとろり豆腐,1.0,,1.0,1.0,1.0,,不明,,,7.0
◎オレンジ香アールグレイ,14.661290322580646,7.388390424298925,4.0,46.0,13.0,0.5,通常,12.0,27.0,103.0
◎カフェラテ　砂糖不使用,10.880434782608695,5.599926199090519,2.0,30.0,10.0,0.51,通常,9.0,20.0,76.0
◎カフェラテレギュラー,20.07608695652174,10.405232935014759,7.0,62.0,17.0,0.52,通常,17.0,37.0,141.0
◎カリカリ梅無着色小袋,4.52808988764045,2.2867696928619714,1.0,11.0,4.0,0.51,通常,4.0,9.0,32.0
◎カリカリ梅赤小袋,4.945652173913044,2.1141289762540456,1.0,11.0,5.0,0.43,通常,3.0,8.0,35.0
◎ガトーショコラ風チョコ,1.0,,1.0,1.0,1.0,,不明,,,7.0
◎キャラメルコーン,1.4074074074074074,0.7401814800036012,1.0,4.0,1.0,0.53,通常,1.0,2.0,10.0
◎キャラメルバニラメロン,11.041666666666666,8.248737277102881,1.0,30.0,10.0,0.75,変動大,14.0,25.0,77.0
◎クラウンメロンパン,9.6,7.61030003788725,1.0,26.0,8.0,0.79,変動大,13.0,23.0,67.0
◎クランベリー＆チーズク,13.34375,8.604573811420904,2.0,38.0,11.5,0.64,通常,14.0,27.0,93.0
◎クルーラーリングドー８,3.4878048780487805,2.134501712572658,1.0,11.0,3.0,0.61,通常,4.0,7.0,24.0
◎クロワッサンワッフル,1.5,0.5773502691896257,1.0,2.0,1.5,0.38,通常,1.0,2.0,10.0
◎グリルチキンやきとり,2.3333333333333335,1.6699498179185495,0.0,12.0,2.0,0.72,変動大,3.0,5.0,16.0
◎グリルチキンゆず七味,1.3333333333333333,0.6396021490668312,0.0,3.0,1.0,0.48,通常,1.0,2.0,9.0
◎グリルチキン梅しそ,1.6595744680851063,1.1282266913878776,0.0,6.0,1.0,0.68,通常,2.0,4.0,12.0
◎グリルチキンＢＰ,5.663043478260869,3.410640022155113,0.0,20.0,5.0,0.6,通常,6.0,12.0,40.0
◎グリルＣヨシダテリヤキ,2.5714285714285716,0.9759000729485333,1.0,4.0,3.0,0.38,通常,2.0,5.0,18.0
◎ゴロゴロチョコのクッキ,13.846153846153847,9.409124503992066,2.0,54.0,11.0,0.68,通常,15.0,29.0,97.0
◎サクサク食感のミニチ５,3.259259259259259,1.6546575893192335,1.0,8.0,3.0,0.51,通常,3.0,6.0,23.0
◎サラダチキンＳスモーク,2.4177215189873418,1.277091998540483,0.0,6.0,2.0,0.53,通常,2.0,4.0,17.0
◎サラダチキンＳハーブ,3.2588235294117647,2.315336760327855,1.0,12.0,3.0,0.71,変動大,4.0,7.0,23.0
◎サーターアンダギー６個,4.157894736842105,2.625512210407443,1.0,13.0,3.0,0.63,通常,4.0,8.0,29.0
◎シャルドネ香るティー,47.333333333333336,25.546891751462045,5.0,84.0,49.0,0.54,通常,42.0,89.0,331.0
◎ショコラクッキー,1.9375,0.9287087810503356,1.0,4.0,2.0,0.48,通常,2.0,4.0,14.0
◎ジャスミン茶６００,116.6195652173913,32.41009284914507,44.0,222.0,115.5,0.28,安定,53.0,170.0,816.0
◎ジュワっとしたチーズ塩,8.0,6.18241233033047,1.0,22.0,5.0,0.77,変動大,10.0,18.0,56.0
◎ジュワっとした塩バター,7.0,3.3166247903554,3.0,12.0,6.0,0.47,通常,5.0,12.0,49.0
◎ジューシーソーセージパ,8.31578947368421,4.119456858862596,1.0,22.0,8.0,0.5,通常,7.0,15.0,58.0
◎スイートポテトタルトデ,19.2,4.1092230756816175,14.0,28.0,18.0,0.21,安定,7.0,26.0,134.0
◎スイートポテト蒸しケ４,6.933333333333334,2.737743248596934,2.0,13.0,7.0,0.39,通常,5.0,12.0,49.0
◎スティックサラミ,2.4,1.2411851354816252,1.0,6.0,2.0,0.52,通常,2.0,4.0,17.0
◎スパイシービーフジャー,1.7142857142857142,0.9907405413510126,0.0,4.0,1.0,0.58,通常,2.0,4.0,12.0
◎スーパーＣＨグレフル３,6.087912087912088,3.2783747723134318,1.0,18.0,5.0,0.54,通常,5.0,11.0,43.0
◎スーパーＣＨ無糖レモ３,14.673913043478262,6.925202731435113,2.0,40.0,13.5,0.47,通常,11.0,26.0,103.0
◎ソフトなチーズクリーム,8.825,8.085718654136203,1.0,32.0,5.0,0.92,変動大,13.0,22.0,62.0
◎タンスティックレモン,1.6111111111111112,0.9400254245190064,0.0,4.0,1.0,0.58,通常,2.0,4.0,11.0
◎ダブルチョコデニッシュ,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
◎チョコシュー,1.2222222222222223,0.5483188805533162,1.0,3.0,1.0,0.45,通常,1.0,2.0,9.0
◎チョコチップクッキー,1.6491228070175439,1.5058365979245967,0.0,10.0,1.0,0.91,変動大,2.0,4.0,12.0
◎チョコチップスコーン,1.58,0.6727949622466638,1.0,3.0,1.0,0.43,通常,1.0,3.0,11.0
◎チョコチップスナック６,13.619565217391305,6.124787309703623,4.0,42.0,13.0,0.45,通常,10.0,24.0,95.0
◎チョコツイスト３本入,1.6666666666666667,0.5773502691896257,1.0,2.0,2.0,0.35,通常,1.0,3.0,12.0
◎チョコバナナロール,2.1538461538461537,1.281025230440697,1.0,5.0,2.0,0.59,通常,2.0,4.0,15.0
◎チョコマカダミアクッキ,1.3214285714285714,0.7723735149271023,0.0,4.0,1.0,0.58,通常,1.0,2.0,9.0
◎チョコマシュマロ,2.272727272727273,1.2527481751855087,1.0,6.0,2.0,0.55,通常,2.0,4.0,16.0
◎チョコミントタルト,2.033333333333333,1.2452207485597395,1.0,5.0,2.0,0.61,通常,2.0,4.0,14.0
◎チョコミントロール,1.8333333333333333,1.1504474832710556,1.0,5.0,1.5,0.63,通常,2.0,4.0,13.0
◎チーズインてりやきバー,14.75,5.257647491307985,7.0,21.0,14.0,0.36,通常,9.0,24.0,103.0
◎ツイストサンド（カスタ,2.4,1.1832159566199232,1.0,4.0,2.0,0.49,通常,2.0,4.0,17.0
◎デニッシュブレッド３枚,2.9186046511627906,2.03623133020189,1.0,14.0,3.0,0.7,変動大,3.0,6.0,20.0
◎トマトコンソメスープ,1.0,,1.0,1.0,1.0,,不明,,,7.0
◎トルティーヤＣタコス味,1.2439024390243902,0.5822580100298341,0.0,3.0,1.0,0.47,通常,1.0,2.0,9.0
◎ドライみかん,2.0789473684210527,1.1973655292041423,1.0,8.0,2.0,0.58,通常,2.0,4.0,15.0
◎ドライもも,1.1428571428571428,0.3631365196012815,1.0,2.0,1.0,0.32,通常,1.0,2.0,8.0
◎ドライりんご,1.8688524590163935,1.0874344399558926,0.0,5.0,2.0,0.58,通常,2.0,4.0,13.0
◎ドライマンゴー,3.0344827586206895,2.2744704257744335,0.0,16.0,3.0,0.75,変動大,4.0,7.0,21.0
◎ノアールミニ,2.0428571428571427,1.1220544599885178,0.0,6.0,2.0,0.55,通常,2.0,4.0,14.0
◎ハムエッグデニッシュ２,8.904761904761905,6.8549599700126755,1.0,26.0,7.0,0.77,変動大,11.0,20.0,62.0
◎ハムチーズエッグマフィ,13.507692307692308,7.276080411447236,3.0,33.0,12.0,0.54,通常,12.0,26.0,95.0
◎ハムチーズクロワッサン,9.277777777777779,10.980972680336167,1.0,48.0,5.0,1.18,変動大,18.0,27.0,65.0
◎ハムチーズデニッシュ４,3.72,1.968925256749648,1.0,8.0,4.0,0.53,通常,3.0,7.0,26.0
◎ハムチーズマヨネーズ２,9.030303030303031,7.595483874736048,1.0,38.0,7.0,0.84,変動大,12.0,21.0,63.0
◎ハンディウェットティシ,2.417910447761194,1.7593839635658917,0.0,8.0,2.0,0.73,変動大,3.0,5.0,17.0
◎バウムクーヘン（４）,1.3571428571428572,0.6333236937766509,1.0,3.0,1.0,0.47,通常,1.0,2.0,10.0
◎バタークロワッサンメロ,10.166666666666666,6.242719336590998,1.0,28.0,9.5,0.61,通常,10.0,20.0,71.0
◎バタークロワッサンメ３,5.328571428571428,3.1655822486684637,1.0,18.0,4.5,0.59,通常,5.0,10.0,37.0
◎パイまんじゅうつぶあん,1.537313432835821,0.8586168971252233,0.0,5.0,1.0,0.56,通常,1.0,3.0,11.0
◎パン・オ・ショコラ４個,7.9375,3.6226606538241977,2.0,20.0,7.5,0.46,通常,6.0,14.0,56.0
◎ピスタチオいちごケーキ,2.1538461538461537,1.0466062370273814,1.0,4.0,2.0,0.49,通常,2.0,4.0,15.0
◎ピリ辛明太フランス（か,15.620689655172415,5.37463482549179,6.0,29.0,15.0,0.34,通常,9.0,25.0,109.0
◎ピーチマンゴールイボス,18.934782608695652,8.059946210692397,7.0,48.0,17.0,0.43,通常,13.0,32.0,133.0
◎ファミマの牛乳５００,3.7011494252873565,2.000668158906824,1.0,10.0,3.0,0.54,通常,3.0,7.0,26.0
◎ファミマ・ザ・カレーパ,8.822222222222223,5.498881965582706,1.0,27.0,8.0,0.62,通常,9.0,18.0,62.0
◎ファミマ・ザ・クリーム,2.25,1.0350983390135313,1.0,4.0,2.0,0.46,通常,2.0,4.0,16.0
◎ファミマ・ザ・メロンパ,14.478260869565217,7.102821387833358,3.0,34.0,13.0,0.49,通常,12.0,26.0,101.0
◎フランクロール,4.317647058823529,5.076115323622139,0.0,26.0,2.0,1.18,変動大,8.0,12.0,30.0
◎フルーツミックス５００,6.909090909090909,4.5266885347800425,1.0,14.0,5.0,0.66,通常,7.0,14.0,48.0
◎フルーツＣ塩レモン,1.0,0.5345224838248488,0.0,2.0,1.0,0.53,通常,1.0,2.0,7.0
◎プリンみたいなパン,15.097560975609756,9.208161809093012,1.0,40.0,12.0,0.61,通常,15.0,30.0,106.0
◎プリンみたいなパンケー,11.0,7.773098007331372,1.0,25.0,12.0,0.71,変動大,13.0,24.0,77.0
◎ベーコンチーズオニオン,7.848484848484849,6.9467672882842235,1.0,30.0,5.0,0.89,変動大,11.0,19.0,55.0
◎ベーコンペッパーマヨ,8.227272727272727,4.5159391375113,1.0,22.0,7.0,0.55,通常,7.0,15.0,58.0
◎ベーコン＆チーズデニッ,16.945945945945947,7.027509223465018,1.0,27.0,19.0,0.41,通常,12.0,29.0,119.0
◎ホットサンド（ハム＆チ,8.080645161290322,6.544421694439345,1.0,26.0,6.5,0.81,変動大,11.0,19.0,57.0
◎ボディＰレモンミント,3.4242424242424243,2.068523115362233,0.0,8.0,3.0,0.6,通常,3.0,6.0,24.0
◎ボロネーゼ風ラザニア,1.0,,1.0,1.0,1.0,,不明,,,7.0
◎マシマシ紅しょうがせん,1.2727272727272727,0.6466697906828632,1.0,3.0,1.0,0.51,通常,1.0,2.0,9.0
◎マラサダ（マカダミアチ,12.085714285714285,10.35082102049491,1.0,46.0,10.0,0.86,変動大,17.0,29.0,85.0
◎ミニクッキー,1.2222222222222223,0.5483188805533161,1.0,3.0,1.0,0.45,通常,1.0,2.0,9.0
◎ミニクリームパン５個入,8.130434782608695,4.457904182348097,2.0,26.0,7.0,0.55,通常,7.0,15.0,57.0
◎ミニバタークッキー,1.7857142857142858,1.0568269096134506,1.0,5.0,1.0,0.59,通常,2.0,4.0,12.0
◎ミニフレンチトースト４,5.329545454545454,3.135710485804405,1.0,16.0,5.0,0.59,通常,5.0,10.0,37.0
◎ミニベーコンピザパン４,4.0,,4.0,4.0,4.0,,不明,,,28.0
◎ミニメンチカツバーガ３,3.9705882352941178,2.1670437077670006,1.0,10.0,3.0,0.55,通常,4.0,8.0,28.0
◎ミニ羊羹　煉,2.4246575342465753,1.723351129978854,1.0,11.0,2.0,0.71,変動大,3.0,5.0,17.0
◎ミルクツイスト３本入,8.0,,8.0,8.0,8.0,,不明,,,56.0
◎メロンクリームパン４,7.793103448275862,3.5894618612268294,1.0,17.0,8.0,0.46,通常,6.0,14.0,55.0
◎ラベルレス天然水安曇箱,2.0,,2.0,2.0,2.0,,不明,,,14.0
◎ルイボスティー６００,15.0,,15.0,15.0,15.0,,不明,,,105.0
◎レアチーズデニッシュ,5.5,3.3380918415851206,1.0,10.0,6.0,0.61,通常,5.0,10.0,38.0
◎レモネードソーダ,5.0,2.494438257849294,1.0,9.0,4.5,0.5,通常,4.0,9.0,35.0
◎レモン香るティーソーダ,6.166666666666667,3.430257521916783,2.0,12.0,5.0,0.56,通常,6.0,12.0,43.0
◎ロングスティックパン（,7.0,,7.0,7.0,7.0,,不明,,,49.0
◎ロングデニッシュ（バタ,5.666666666666667,1.3662601021279466,4.0,8.0,5.5,0.24,安定,2.0,8.0,40.0
◎人気のミックスナッツ,1.4761904761904763,0.8728715609439694,1.0,4.0,1.0,0.59,通常,1.0,2.0,10.0
◎伊右衛門　濃い緑茶,1.0,,1.0,1.0,1.0,,不明,,,7.0
◎冷やし胡瓜一本漬,3.244186046511628,1.8657031256914307,1.0,10.0,3.0,0.58,通常,3.0,6.0,23.0
◎冷スープかぼちゃと人参,1.0,1.109400392450458,0.0,4.0,1.0,1.11,変動大,2.0,3.0,7.0
◎北海道メロンのコロネ,10.043478260869565,6.574594774028872,1.0,27.0,8.0,0.65,通常,11.0,21.0,70.0
◎北海道メロンパン,23.597826086956523,12.009208721779633,5.0,72.0,23.0,0.51,通常,20.0,44.0,165.0
◎半熟ゆでたまご１個,6.522222222222222,3.3927476445022995,1.0,24.0,6.0,0.52,通常,6.0,13.0,46.0
◎南高梅うす塩個食,1.0,0.4714045207910317,0.0,2.0,1.0,0.47,通常,1.0,2.0,7.0
◎南高梅はちみつ入個食,1.631578947368421,1.0651304727481081,1.0,5.0,1.0,0.65,通常,2.0,4.0,11.0
◎台湾烏龍茶　６００,23.91304347826087,8.112738828212832,11.0,56.0,23.0,0.34,通常,13.0,37.0,167.0
◎和風ツナパン,6.260869565217392,5.420645645076439,1.0,24.0,4.0,0.87,変動大,9.0,15.0,44.0
◎塩キャラメルケーキタ３,6.774193548387097,6.184441108779111,1.0,25.0,4.0,0.91,変動大,10.0,17.0,47.0
◎塩チョコフィナンシェ,6.5625,5.136444735040867,1.0,20.0,6.0,0.78,変動大,8.0,15.0,46.0
◎塩バターケーキタルト,9.434782608695652,6.351993867043365,2.0,28.0,9.0,0.67,通常,10.0,19.0,66.0
◎塩バターパン（チョコク,19.96,13.408579343092244,3.0,48.0,20.0,0.67,通常,22.0,42.0,140.0
◎塩揚げ餅,1.6666666666666667,0.8467473838610141,1.0,5.0,1.0,0.51,通常,1.0,3.0,12.0
◎増量うす焼せんべい,2.5,2.431675035497315,1.0,12.0,2.0,0.97,変動大,4.0,6.0,18.0
◎増量かーるいチーズスナ,2.727272727272727,1.7776875878998424,1.0,7.0,3.0,0.65,通常,3.0,6.0,19.0
◎増量しみチョココーン,3.2666666666666666,2.2189658681037714,1.0,8.0,2.0,0.68,通常,4.0,7.0,23.0
◎増量チョコビスケット,4.0,2.0,2.0,7.0,4.0,0.5,通常,3.0,7.0,28.0
◎増量大盛たこ焼き,1.0,,1.0,1.0,1.0,,不明,,,7.0
◎夏のベイクドチーズＣ,15.571428571428571,10.545943827696561,1.0,42.0,13.0,0.68,通常,17.0,33.0,109.0
◎大きいあらびきチョリソ,11.869565217391305,11.111045283024193,1.0,54.0,8.0,0.94,変動大,18.0,30.0,83.0
◎大きいウインナー,20.92391304347826,13.53484205135002,5.0,68.0,17.0,0.65,通常,22.0,43.0,146.0
◎天然水新潟県津南３７０,17.706521739130434,6.337639251743228,6.0,42.0,17.5,0.36,通常,10.0,28.0,124.0
◎天然水新潟県津南６００,78.55434782608695,23.355524621365845,40.0,180.0,75.0,0.3,通常,38.0,117.0,550.0
◎天然水長野県安曇野２Ｌ,3.4705882352941178,2.1246189310652626,1.0,12.0,3.0,0.61,通常,3.0,6.0,24.0
◎完熟バナナパンケーキ,8.3,4.728125676607285,0.0,18.0,9.0,0.57,通常,8.0,16.0,58.0
◎手巻きソーセージドーナ,8.833333333333334,8.286535263104033,1.0,29.0,7.0,0.94,変動大,14.0,23.0,62.0
◎春雨スープかきたま,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
◎春雨スープ担々麺味,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
◎有明産の海苔,0.9583333333333334,0.20412414523193148,0.0,1.0,1.0,0.21,安定,0.0,1.0,7.0
◎有機栽培の恵み天津甘栗,1.84,1.0909950826059072,0.0,6.0,2.0,0.59,通常,2.0,4.0,13.0
◎根菜入つくね和風スープ,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
◎桃パウンドケーキ,1.7777777777777777,0.6979824404521127,1.0,3.0,2.0,0.39,通常,1.0,3.0,12.0
◎桃大福,1.3333333333333333,0.5547001962252291,1.0,3.0,1.0,0.42,通常,1.0,2.0,9.0
◎水に流せるポケットＴ,6.043956043956044,2.5513050599952782,1.0,12.0,6.0,0.42,通常,4.0,10.0,42.0
◎海鮮スティック明太マヨ,3.965909090909091,2.4185531137550678,0.0,13.0,4.0,0.61,通常,4.0,8.0,28.0
◎濃厚チョコパウンド,2.151898734177215,1.39677841418448,1.0,10.0,2.0,0.65,通常,2.0,4.0,15.0
◎濃厚ミルクドーナツ,3.5164835164835164,1.9342678049825317,0.0,9.0,3.0,0.55,通常,3.0,7.0,25.0
◎瀬戸内レモンのドーナツ,2.576923076923077,1.2703724469013622,1.0,5.0,2.0,0.49,通常,2.0,5.0,18.0
◎瀬戸内レモンピール,1.7301587301587302,1.0955385949878893,0.0,5.0,1.0,0.63,通常,2.0,4.0,12.0
◎炙りいかそうめん,1.0,0.2773500981126146,0.0,2.0,1.0,0.28,安定,0.0,1.0,7.0
◎焦がしバターのクロワッ,2.5,1.1952286093343936,1.0,4.0,2.5,0.48,通常,2.0,4.0,18.0
◎焼きカレーパン３個入,6.636363636363637,3.202271920768981,2.0,12.0,7.0,0.48,通常,5.0,12.0,46.0
◎焼たまごカレートースト,3.6,2.3021728866442674,1.0,7.0,4.0,0.64,通常,4.0,8.0,25.0
◎特製ダレの味付けたまご,2.1052631578947367,1.7286711930171255,0.0,6.0,2.0,0.82,変動大,3.0,5.0,15.0
◎玄米茶　６００,18.630434782608695,7.516600516548041,7.0,44.0,17.0,0.4,通常,12.0,31.0,130.0
◎生コッペパン（あんバタ,7.942857142857143,4.757559093697176,1.0,22.0,7.0,0.6,通常,8.0,16.0,56.0
◎生コッペパン（たまご）,17.554347826086957,10.480084860862263,4.0,66.0,15.5,0.6,通常,17.0,35.0,123.0
◎生コッペパン（オムナポ,9.6,4.7629522657396315,1.0,18.0,10.0,0.5,通常,8.0,18.0,67.0
◎生コッペパン（コロッケ,12.604395604395604,8.457579271319139,1.0,44.0,12.0,0.67,通常,14.0,27.0,88.0
◎生コッペパン（ダブルピ,8.241758241758241,5.741352259104624,2.0,28.0,7.0,0.7,変動大,9.0,17.0,58.0
◎生コッペパン（チョコバ,8.560975609756097,4.7119464156959845,3.0,18.0,7.0,0.55,通常,8.0,17.0,60.0
◎生コッペパン（ツナ＆ポ,3.6666666666666665,1.7511900715418265,1.0,6.0,3.5,0.48,通常,3.0,7.0,26.0
◎生コッペパン（ハムカツ,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
◎生コッペパン（モンブラ,11.0,,11.0,11.0,11.0,,不明,,,77.0
◎生コッペパン（厚ぎりと,8.035714285714286,6.523360545319628,1.0,28.0,6.0,0.81,変動大,11.0,19.0,56.0
