商品名,平均,標準偏差,最小,最大,中央値,変動係数_CV,需要パターン,安全在庫,発注点,推奨発注量_週間
龍角散のど飴ｍａｘＳＴ,2.32,1.7565322101815855,1.0,11.0,2.0,0.76,変動大,3.0,5.0,16.0
龍角散ののどすっきりタブ,2.1323529411764706,1.1958187323911136,1.0,5.0,2.0,0.56,通常,2.0,4.0,15.0
龍角散ののどすっきり飴袋,2.686046511627907,1.6468267376058634,1.0,8.0,2.0,0.61,通常,3.0,6.0,19.0
＊Ｆハイキューまんじゅう,2.6923076923076925,1.931519927613803,1.0,8.0,2.0,0.72,変動大,3.0,6.0,19.0
０．０１ゼロワン,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
０１：ＢＥ：ＦＩＲＳＴ,1.0,,1.0,1.0,1.0,,不明,,,7.0
１日分鉄分のむヨーグルト,3.8876404494382024,3.520841203227611,1.0,22.0,3.0,0.91,変動大,6.0,10.0,27.0
１日分Ｖゼリーピーチ,3.0,1.4142135623730951,2.0,4.0,3.0,0.47,通常,2.0,5.0,21.0
１本満足シリアルチョコ,2.4,1.5475583054802038,1.0,8.0,2.0,0.64,通常,3.0,5.0,17.0
１本満足シリアルブラック,2.7790697674418605,1.7177356010385416,1.0,10.0,2.5,0.62,通常,3.0,6.0,19.0
１本満足シリアルホワイト,4.637362637362638,2.592795503426469,1.0,15.0,4.0,0.56,通常,4.0,9.0,32.0
１本満足プロテイン　ＷＴ,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
１本満足プロテインチョコ,1.7796610169491525,1.067833717685733,0.0,8.0,2.0,0.6,通常,2.0,4.0,12.0
１００％　オレンジ,12.9375,5.752629132447517,2.0,23.0,13.5,0.44,通常,9.0,22.0,91.0
１９６マスカット３５０,2.5625,1.2632629707758132,1.0,5.0,2.5,0.49,通常,2.0,5.0,18.0
１９６レモン３５０,5.384615384615385,3.9097511233010533,1.0,15.0,4.5,0.73,変動大,6.0,11.0,38.0
１９６無糖ピンクＧＦ３５,3.0,1.3093073414159542,1.0,5.0,3.0,0.44,通常,2.0,5.0,21.0
１９６無糖冷凍みかん３５,4.5,2.309401076758503,1.0,8.0,5.0,0.51,通常,4.0,8.0,32.0
１９６無糖３種の果実３５,9.0,,9.0,9.0,9.0,,不明,,,63.0
１９６無糖Ｗパイン３５,5.2,3.1220775808830616,1.0,14.0,4.5,0.6,通常,5.0,10.0,36.0
１９６王林３５０,5.68,4.1000000000000005,1.0,16.0,4.0,0.72,変動大,7.0,13.0,40.0
１９６白桃３５０,1.7142857142857142,1.3827826698682308,1.0,6.0,1.0,0.81,変動大,2.0,4.0,12.0
１９６ＳＴゼロＷレモン３,7.318681318681318,3.794379237413387,1.0,23.0,7.0,0.52,通常,6.0,13.0,51.0
２種のキンパ,1.6666666666666667,0.816496580927726,1.0,3.0,1.5,0.49,通常,1.0,3.0,12.0
２種チーズとハムサンド,4.681818181818182,2.317354066630706,2.0,11.0,4.0,0.49,通常,4.0,9.0,33.0
２０品目のサラダ,1.0,1.0,0.0,2.0,1.0,1.0,変動大,2.0,3.0,7.0
２５０円スポーツ,1.2272727272727273,0.5284134548067253,1.0,3.0,1.0,0.43,通常,1.0,2.0,9.0
