商品名,売上金額,売上数量,販売日数,取扱店舗数,構成比,累積構成比,ABCランク,1日平均売上,平均単価
もっちりクリームロール,3756.0,12.0,9,2,0.0045172239186332995,98.96241314912396,C,417.0,313.0
わた雪みたいなレアチーズ,3780.0,12.0,6,2,0.004546087969231596,98.95789592520532,C,630.0,315.0
ケント・６・１００ＢＯＸ,3784.0,8.0,6,2,0.004550898644331312,98.95334983723609,C,631.0,473.0
男梅シート,3800.0,19.0,15,1,0.004570141344730176,98.94879893859176,C,253.0,200.0
ヘパリーゼＷハイパー,3800.0,10.0,7,1,0.004570141344730176,98.94422879724704,C,543.0,380.0
８×４ロールオンせっけん,3846.0,6.0,6,1,0.004625464108376909,98.9396586559023,C,641.0,641.0
ネクターピーチティー,3860.0,20.0,13,2,0.004642301471225915,98.93503319179393,C,297.0,193.0
１９６白桃３５０,3864.0,24.0,14,1,0.004647112146325631,98.93039089032271,C,276.0,161.0
１９６無糖ピンクＧＦ３５,3864.0,24.0,8,1,0.004647112146325631,98.92574377817638,C,483.0,161.0
おーいお茶濃い茶１Ｌ,3872.0,22.0,12,1,0.004656733496525063,98.92109666603005,C,323.0,176.0
マカダミアパンケーキ,3876.0,12.0,7,2,0.004661544171624779,98.91643993253352,C,554.0,323.0
ＬＩＢＥＲＡミルク,3878.0,14.0,13,1,0.004663949509174637,98.9117783883619,C,298.0,277.0
冷しニンニクまぜそば,3882.0,6.0,6,2,0.004668760184274353,98.90711443885272,C,647.0,647.0
納豆細巻寿司（５巻増量）,3890.0,10.0,6,2,0.004678381534473784,98.90244567866844,C,648.0,389.0
紳士ショートＳ黒,3900.0,10.0,11,1,0.004690408222223075,98.89307688891175,C,355.0,390.0
婦人ショートＳ白,3900.0,10.0,11,1,0.004690408222223075,98.89776729713397,C,355.0,390.0
ラッキーＳＲタバコ１０Ｐ,3910.0,1.0,1,1,0.004702434909972365,98.88838648068953,C,3910.0,3910.0
ＢＳおつまみ焼そば味スパ,3944.0,29.0,14,1,0.00474332564831995,98.88368404577956,C,282.0,136.0
パーラメント１００ＢＯＸ,3948.0,7.0,7,1,0.004748136323419666,98.87894072013124,C,564.0,564.0
ハリボープリマヴェーラ,3960.0,20.0,10,1,0.004762568348718814,98.87419258380783,C,396.0,198.0
赤肉メロンミルク,4005.0,15.0,7,1,0.0048166884435906195,98.86461693502184,C,572.0,267.0
マカロンチョコパッション,4005.0,15.0,5,2,0.0048166884435906195,98.85980024657825,C,801.0,267.0
アリィージェルＵＶミニ,4038.0,3.0,3,1,0.004856376513163276,98.85498355813465,C,1346.0,1346.0
梨スムージー,4053.0,21.0,10,1,0.004874416544787211,98.85012718162149,C,405.0,193.0
鶏焼肉のバインミー,4059.0,11.0,5,1,0.0048816325574367846,98.8452527650767,C,812.0,369.0
ビタミン野菜,4068.0,36.0,12,2,0.004892456576411146,98.83548709462427,C,339.0,113.0
さけるグミハロウィン,4080.0,34.0,18,2,0.004906888601710294,98.83059463804786,C,227.0,120.0
冷しすだちおろしうどん,4080.0,8.0,6,1,0.004906888601710294,98.82568774944615,C,680.0,510.0
◎ロングデニッシュ（バタ,4114.0,34.0,6,1,0.004947779340057879,98.82078086084444,C,686.0,121.0
ネバネバと大根のサラダ,4158.0,14.0,12,1,0.005000696766154755,98.81583308150438,C,346.0,297.0
◎グリルＣヨシダテリヤキ,4176.0,18.0,7,2,0.005022344804103477,98.81083238473822,C,597.0,232.0
金のミルクキャンディ,4199.0,19.0,17,1,0.005050006185926844,98.80581003993412,C,247.0,221.0
サンデー毎日,4200.0,7.0,9,1,0.005051208854701773,98.80076003374819,C,467.0,600.0
サンリオグミチュアチャー,4200.0,12.0,5,1,0.005051208854701773,98.7957088248935,C,840.0,350.0
ゆず冷し鶏塩おろしうどん,4208.0,8.0,10,1,0.005060830204901205,98.7906576160388,C,421.0,526.0
メビウス１００Ｂ,4224.0,8.0,8,1,0.005080072905300069,98.7855967858339,C,528.0,528.0
メビウスＳＴ１　１００,4224.0,8.0,7,1,0.005080072905300069,98.7805167129286,C,603.0,528.0
ルーロー飯おむすび,4268.0,22.0,3,1,0.005132990331396944,98.7754366400233,C,1423.0,194.0
ラッキーＳトロピカルＢ,4301.0,11.0,11,1,0.005172678400969601,98.77030364969191,C,391.0,391.0
◎こだわりのバタークッキ,4302.0,18.0,17,1,0.00517388106974453,98.76513097129094,C,253.0,239.0
バナナバウムクーヘン,4309.0,31.0,10,3,0.005182299751169034,98.75995709022119,C,431.0,139.0
ザプレミアムモルツ３５０,4318.0,17.0,8,1,0.005193123770143394,98.75477479047002,C,540.0,254.0
ツメキリ　Ｓ,4320.0,9.0,9,1,0.005195529107693252,98.74958166669988,C,480.0,480.0
ベロＭＰミントＸインテン,4340.0,14.0,11,1,0.005219582483191832,98.739166555109,C,395.0,310.0
ベロＢマンゴーＭ５Ｐ,4365.0,3.0,3,1,0.005249649202565057,98.7339469726258,C,1455.0,1455.0
レモンチーズケーキ,4368.0,28.0,9,1,0.005253257208889844,98.72344406621434,C,485.0,156.0
ジャムグミいちご,4368.0,24.0,17,2,0.005253257208889844,98.71819080900545,C,257.0,182.0
◎チョコバナナロール,4368.0,28.0,13,2,0.005253257208889844,98.72869732342323,C,336.0,156.0
スプバレ豊潤ラガー３５０,4410.0,18.0,7,1,0.0053037692974368614,98.71293755179656,C,630.0,245.0
ふわもち生大福　コーヒー,4416.0,32.0,17,2,0.0053109853100864355,98.70233001320167,C,260.0,138.0
◎ドライもも,4416.0,16.0,14,1,0.0053109853100864355,98.69701902789159,C,315.0,276.0
ミルクソースのシフォン,4428.0,12.0,5,3,0.005325417335385584,98.6917080425815,C,886.0,369.0
江頭　激辛豚骨ラーメン,4428.0,12.0,3,1,0.005325417335385584,98.68638262524611,C,1476.0,369.0
ブリーフ団イカ墨まぜそば,4428.0,12.0,3,1,0.005325417335385584,98.67573179057534,C,1476.0,369.0
アメリカヘアピン,4480.0,16.0,17,2,0.005387956111681891,98.66506652387928,C,264.0,280.0
漬けぶりおむすび,4482.0,18.0,2,1,0.005390361449231749,98.6596785677676,C,2241.0,249.0
グランドジャンプ,4514.0,10.0,9,1,0.005428846850029477,98.65428820631837,C,502.0,451.0
◎バウムクーヘン（４）,4541.0,19.0,14,2,0.00546131890695256,98.64341608059301,C,324.0,239.0
◎ジュワっとした塩バター,4550.0,35.0,5,1,0.00547214292592692,98.63795476168606,C,910.0,130.0
ネオＢレッドフルーツ,4550.0,10.0,9,3,0.00547214292592692,98.63248261876014,C,506.0,455.0
ネオＢマスカット,4550.0,10.0,7,2,0.00547214292592692,98.62701047583421,C,650.0,455.0
海苔巻おかき,4560.0,20.0,18,1,0.00548416961367621,98.62153833290829,C,253.0,228.0
カルピスＰマンゴーピーチ,4590.0,27.0,6,1,0.005520249676924081,98.6160541632946,C,765.0,170.0
フェットチーネマスカット,4592.0,41.0,9,2,0.005522655014473938,98.61053391361769,C,510.0,112.0
◎ツイストサンド（カスタ,4608.0,36.0,15,1,0.005541897714872802,98.59947898223854,C,307.0,128.0
青ねぎと蒸し鶏のパスタ,4620.0,10.0,8,1,0.00555632974017195,98.58838075478349,C,578.0,462.0
ミンティアＢカルピス,4642.0,22.0,5,2,0.005582788453220388,98.58282442504331,C,928.0,211.0
サブレサンドバニライチゴ,4648.0,14.0,6,3,0.005590004465869962,98.57724163659009,C,775.0,332.0
◎冷スープかぼちゃと人参,4648.0,14.0,14,1,0.005590004465869962,98.57165163212422,C,332.0,332.0
善逸たまごＢＯＸＤ２,4675.0,11.0,8,2,0.0056224765227930445,98.56606162765834,C,584.0,425.0
超急速２ｉｎ１Ｃ＆Ｌ１ｍ,4692.0,2.0,2,1,0.005642921891966838,98.56043915113555,C,2346.0,2346.0
ケント１・１００Ｂ１０Ｐ,4728.0,1.0,1,1,0.005686217967864281,98.54915330735163,C,4728.0,4728.0
梅蒸し鶏あったかそうめん,4788.0,12.0,11,1,0.005758378094360021,98.5377135219645,C,435.0,399.0
ソイチキン根菜ラップ,4797.0,13.0,13,1,0.005769202113334382,98.53195514387015,C,369.0,369.0
レインコートＬ,4809.0,7.0,8,1,0.00578363413863353,98.52618594175682,C,601.0,687.0
◎レモン香るティーソーダ,4810.0,37.0,6,2,0.005784836807408459,98.52040230761818,C,802.0,130.0
アーモンド・ブリーズ微糖,4864.0,38.0,13,2,0.005849780921254624,98.51461747081078,C,374.0,128.0
たまごっち　まんまる焼き,4872.0,21.0,6,2,0.005859402271454057,98.50876768988952,C,812.0,232.0
いなり寿司５ヶ入,4873.0,11.0,7,1,0.005860604940228986,98.50290828761807,C,696.0,443.0
スフレ・プリン,4896.0,16.0,13,1,0.005888266322052352,98.49704768267785,C,377.0,306.0
Ｗ・Ｃホワイト５・１０Ｐ,4910.0,1.0,1,1,0.005905103684901358,98.4911594163558,C,4910.0,4910.0
カントリーＭ塩バニラアイ,4930.0,34.0,17,1,0.005929157060399938,98.4852543126709,C,290.0,145.0
ベロＭＰＭインテンス,4947.0,17.0,16,1,0.005949602429573731,98.47932515561051,C,309.0,291.0
果汁グミ弾力プラスいちご,4950.0,22.0,18,2,0.005953210435898517,98.47337555318094,C,275.0,225.0
ねるねるねるねドリンク,4968.0,18.0,5,3,0.00597485847384724,98.46742234274504,C,994.0,276.0
冷しぶっかけ豚肉うどん,4986.0,9.0,9,1,0.005996506511795961,98.46144748427119,C,554.0,554.0
植物生まれマスカットグミ,5032.0,34.0,12,1,0.0060518292754426955,98.4554509777594,C,419.0,148.0
備蓄米　１ｋｇ,5040.0,14.0,5,2,0.006061450625642127,98.44939914848395,C,1008.0,360.0
大粒ラムネＲすっぱレモン,5054.0,38.0,17,1,0.0060782879884911335,98.44333769785831,C,297.0,133.0
ガルボほろにがブラックＰ,5075.0,29.0,9,1,0.0061035440327646415,98.43725940986982,C,564.0,175.0
ソフトタンポンコンパクト,5076.0,18.0,16,2,0.0061047467015395715,98.43115586583706,C,317.0,282.0
メロンソーダアップ,5082.0,21.0,15,2,0.006111962714189145,98.42505111913552,C,339.0,242.0
２種のキンパ,5100.0,10.0,6,2,0.006133610752137866,98.41893915642133,C,850.0,510.0
手巻寿司　３種のねばねば,5130.0,27.0,9,2,0.0061696908153857375,98.41280554566919,C,570.0,190.0
未来のレサワオリジナル３,5149.0,19.0,14,2,0.006192541522109388,98.4066358548538,C,368.0,271.0
パリジャンサンドハムチズ,5168.0,16.0,12,1,0.006215392228833039,98.40044331333169,C,431.0,323.0
塩分チャージタブ小袋塩レ,5180.0,37.0,11,2,0.006229824254132187,98.39422792110285,C,471.0,140.0
Ｈジョージア　カフェラテ,5180.0,35.0,10,1,0.006229824254132187,98.38799809684872,C,518.0,148.0
ＡＥＲＡ（アエラ）,5184.0,9.0,9,1,0.0062346349292319025,98.38176827259458,C,576.0,576.0
Ｈ伊右衛門５００,5244.0,38.0,15,1,0.006306795055727642,98.36299461301795,C,350.0,138.0
◎どかっとテリマヨチキン,5265.0,39.0,15,1,0.006332051100001151,98.35037741490017,C,351.0,135.0
テリアレギュラー１０Ｐ,5273.0,1.0,1,1,0.006341672450200582,98.34404536380016,C,5273.0,5273.0
和風ドレッシング,5313.0,161.0,83,2,0.0063897792011977424,98.3186101218792,C,64.0,33.0
競馬エイト,5319.0,9.0,7,2,0.0063969952138473165,98.312220342678,C,760.0,591.0
ピュレグミＰ白桃,5400.0,30.0,13,1,0.0064944113846165654,98.29932893607953,C,415.0,180.0
秋のフルーツスムージー,5404.0,28.0,16,1,0.006499222059716281,98.29283452469491,C,338.0,193.0
Ｎｅｗｔｏｎ（ニュートン,5410.0,5.0,5,1,0.006506438072365854,98.2863353026352,C,1082.0,1082.0
ポケカ拡張ステラ,5412.0,33.0,8,1,0.006508843409915713,98.27982886456283,C,676.0,164.0
シーザーパスタサラダ,5446.0,14.0,10,1,0.006549734148263298,98.26679554304893,C,545.0,389.0
テリヤキチキンたまごコぺ,5491.0,17.0,6,1,0.006603854243135103,98.26024580890066,C,915.0,323.0
メガシャキ,5497.0,23.0,17,1,0.006611070255784678,98.25364195465752,C,323.0,239.0
小枝チョコクッキーサンド,5497.0,23.0,8,2,0.006611070255784678,98.24703088440174,C,687.0,239.0
Ｈ綾鷹,5504.0,43.0,16,1,0.00661948893720918,98.24041981414595,C,344.0,128.0
◎チョコミントロール,5511.0,33.0,18,1,0.006627907618633683,98.23380032520875,C,306.0,167.0
にじピグチップスうすしお,5520.0,24.0,2,1,0.006638731637608045,98.2205336859525,C,2760.0,230.0
塩バター揚げ焼きくりーむ,5520.0,20.0,11,2,0.006638731637608045,98.2138949543149,C,502.0,276.0
フルーチェグミイチゴ,5520.0,30.0,12,1,0.006638731637608045,98.22717241759011,C,460.0,184.0
バター醤油パスタ,5538.0,13.0,6,2,0.006660379675556766,98.20725622267729,C,923.0,426.0
野菜食べよう冷しタンメン,5540.0,10.0,5,2,0.0066627850131066235,98.20059584300174,C,1108.0,554.0
ヨーグレットグミブルーベ,5600.0,40.0,15,2,0.0067349451396023635,98.19393305798863,C,373.0,140.0
ウィルキンソンＥＸ　ＧＦ,5616.0,48.0,13,1,0.006754187840001228,98.18719811284903,C,432.0,117.0
ビッグコミックスペリオー,5640.0,12.0,10,2,0.006783051890599523,98.17367891315006,C,564.0,470.0
北海道なまらでっかいシュ,5670.0,18.0,4,3,0.006819131953847394,98.16007672930562,C,1418.0,315.0
ジャックジンジャーＨＢ３,5670.0,27.0,8,1,0.006819131953847394,98.15325759735177,C,709.0,210.0
レッツハロウィンつぶグミ,5688.0,36.0,14,3,0.006840779991796116,98.13278095878982,C,406.0,158.0
オレンジもちとろクリーム,5704.0,31.0,14,1,0.006860022692194979,98.12594017879803,C,407.0,184.0
３色そぼろ＆チキン南蛮弁,5800.0,10.0,14,1,0.006975478894588163,98.10531320663922,C,414.0,580.0
豚しゃぶのパスタサラダ,5904.0,16.0,11,1,0.007100556447180777,98.09123717129745,C,537.0,369.0
海老とブロッコリーロール,5904.0,16.0,14,1,0.007100556447180777,98.09833772774464,C,422.0,369.0
みんなのレモネード,5936.0,28.0,6,2,0.007139041847978505,98.08413661485027,C,989.0,212.0
充電器５０００ｍＡｈ,5964.0,2.0,2,1,0.007172716573676517,98.07699757300229,C,2982.0,2982.0
◎豆腐と枝豆のひじき和え,5975.0,25.0,15,1,0.007185945930200736,98.06982485642861,C,398.0,239.0
グミだよ。レモネード味,5976.0,36.0,14,2,0.007187148598975665,98.0626389104984,C,427.0,166.0
桃マカロン,5976.0,24.0,16,3,0.007187148598975665,98.05545176189943,C,374.0,249.0
週　刊　実　話,5997.0,11.0,10,1,0.007212404643249174,98.04826461330046,C,600.0,545.0
たまごっち　めじるし２,6000.0,20.0,5,1,0.007216012649573961,98.0410522086572,C,1200.0,300.0
ケントＮＳダークＦ,6000.0,12.0,3,1,0.007216012649573961,98.03383619600763,C,2000.0,500.0
＊Ｆハイキューまんじゅう,6020.0,35.0,13,3,0.007240066025072541,98.01938252267053,C,463.0,172.0
ＣＷ晴雨兼用スリム折傘,6042.0,3.0,5,1,0.007266524738120979,98.01214245664545,C,1208.0,2014.0
◎のむヨーグルトメロン,6045.0,31.0,10,2,0.007270132744445767,98.00487593190732,C,604.0,195.0
ルーシーのレモネード,6072.0,33.0,12,2,0.007302604801368849,97.99032965307455,C,506.0,184.0
お泊まりスキンケアセット,6080.0,16.0,12,3,0.00731222615156828,97.98302704827319,C,507.0,380.0
ヱビスビール３５０,6096.0,24.0,8,1,0.007331468851967145,97.97571482212162,C,762.0,254.0
ＦチャーリーＢロール,6105.0,37.0,15,3,0.007342292870941505,97.96838335326964,C,407.0,165.0
ｂｉｔｌｏｔガンダム,6120.0,9.0,8,1,0.00736033290256544,97.9610410603987,C,765.0,680.0
植物生のスパイシーカレー,6132.0,42.0,6,3,0.007374764927864589,97.95368072749613,C,1022.0,146.0
ざるそば,6255.0,15.0,15,1,0.007522693187180855,97.93146021921055,C,417.0,417.0
トッポ,6270.0,30.0,10,1,0.007540733218804789,97.92393752602337,C,627.0,209.0
ＵＳＢ－Ｃ１．２ｍ,6275.0,5.0,5,2,0.0075467465626794334,97.91639679280456,C,1255.0,1255.0
ライフガード５００,6300.0,42.0,10,1,0.007576813282052659,97.90885004624188,C,630.0,150.0
ポケピファンポッチャマ,6328.0,2.0,2,1,0.007610488007750671,97.90127323295982,C,3164.0,3164.0
ポケピファンピカチュウ,6328.0,2.0,2,1,0.007610488007750671,97.89366274495207,C,3164.0,3164.0
ヴァルトダークタバコ,6336.0,12.0,9,3,0.007620109357950103,97.88605225694431,C,704.0,528.0
むっち実グミオレンジ味,6336.0,32.0,17,2,0.007620109357950103,97.87843214758637,C,373.0,198.0
テリアＢトロピカルＭ,6336.0,12.0,3,1,0.007620109357950103,97.87081203822842,C,2112.0,528.0
ＩＱＯＳｉＤバイオレット,6346.0,1.0,1,1,0.0076321360456993925,97.86319192887048,C,6346.0,6346.0
生ラムネ玉,6384.0,42.0,18,1,0.007677837459146695,97.85555979282478,C,355.0,152.0
シャンゴ監修　ベスビオ,6402.0,11.0,6,2,0.007699485497095417,97.84788195536564,C,1067.0,582.0
ザバスミルクキャラメル,6438.0,29.0,7,1,0.00774278157299286,97.83245412032085,C,920.0,222.0
◎レアチーズデニッシュ,6468.0,44.0,8,2,0.00777886163624073,97.80919691155128,C,808.0,147.0
ザ・クレープチョコバナナ,6474.0,26.0,11,2,0.007786077648890305,97.80141804991504,C,589.0,249.0
ファミマ・ザ・ナポリタン,6496.0,16.0,8,2,0.007812536361938743,97.79363197226616,C,812.0,406.0
メントスＤＵＯブラッドオ,6520.0,40.0,14,2,0.007841400412537038,97.78581943590422,C,466.0,163.0
ＭＶＰＧレギュウィズ６Ｐ,6546.0,2.0,2,1,0.007872669800685192,97.77012701372895,C,3273.0,3273.0
◎ショコラクッキー,6572.0,31.0,16,2,0.007903939188833345,97.76225434392826,C,411.0,212.0
１９６マスカット３５０,6601.0,41.0,16,1,0.007938816583306287,97.75435040473943,C,413.0,161.0
婦人クルーＳ黒,6630.0,17.0,15,1,0.007973693977779228,97.74641158815612,C,442.0,390.0
◎でっかいカレーたまごパ,6672.0,48.0,15,2,0.008024206066326246,97.73843789417835,C,445.0,139.0
クリーミーほうじ茶ラテ,6697.0,37.0,17,1,0.00805427278569947,97.73041368811202,C,394.0,181.0
センティアＴイエロー,6748.0,14.0,11,1,0.00811560889322085,97.72235941532632,C,613.0,482.0
クリームワッフルクッキー,6760.0,26.0,8,2,0.008130040918519996,97.70612579220233,C,845.0,260.0
ケントエス・スパーク５,6825.0,15.0,11,2,0.00820821438889038,97.68165869864518,C,620.0,455.0
Ｆ伊之助のほわほわ大福,6875.0,55.0,12,3,0.008268347827636831,97.67345048425629,C,573.0,125.0
男梅サワー梅涼し３５０,6919.0,37.0,17,1,0.008321265253733705,97.65689815390694,C,407.0,187.0
ベースブレッドさつまいも,7020.0,27.0,14,1,0.008442734800001534,97.64022796201765,C,501.0,260.0
野菜生活巨峰,7198.0,61.0,11,2,0.008656809841938897,97.59753803118276,C,654.0,118.0
◎増量しみチョココーン,7203.0,49.0,15,2,0.00866282318581354,97.58022200616134,C,480.0,147.0
グローＨプロオニキスＰ,7238.0,2.0,2,1,0.008704916592936056,97.57155918297552,C,3619.0,3619.0
エボルタＮＥＯ単４－４Ｐ,7249.0,11.0,11,1,0.008718145949460274,97.56285426638259,C,659.0,659.0
◎３種フルーツとナッツ,7260.0,44.0,12,2,0.008731375305984493,97.55413612043313,C,605.0,165.0
東スポ競馬特別版,7296.0,32.0,17,2,0.008774671381881937,97.54540474512714,C,429.0,228.0
棒棒鶏風サラダ,7308.0,18.0,8,1,0.008789103407181085,97.53663007374526,C,914.0,406.0
パーラメントＥＸＬ１００,7332.0,13.0,7,1,0.008817967457779382,97.52784097033808,C,1047.0,564.0
カルピス　ザ　リッチ,7360.0,46.0,6,1,0.008851642183477393,97.50134377188884,C,1227.0,160.0
ふわもち生大福　きなこ,7452.0,54.0,18,2,0.00896228771077086,97.47463009306013,C,414.0,138.0
ナッツフルーツカッサータ,7482.0,29.0,7,3,0.00899836777401873,97.46566780534936,C,1069.0,258.0
アロンアルフア速効多用途,7515.0,15.0,16,2,0.009038055843591387,97.44764220575072,C,470.0,501.0
手巻寿司　梅ゆかり納豆,7560.0,40.0,16,1,0.009092175938463192,97.42951197396867,C,472.0,189.0
生茶６００,7584.0,48.0,6,1,0.009121039989061488,97.42041979803021,C,1264.0,158.0
おーいお茶濃茶ストロング,7584.0,48.0,7,1,0.009121039989061488,97.41129875804114,C,1083.0,158.0
ポケぷにソーダ,7630.0,35.0,18,1,0.00917636275270822,97.38390917936091,C,424.0,218.0
三ツ矢サイダー５００,7680.0,48.0,10,1,0.00923649619145467,97.3747328166082,C,768.0,160.0
三次元マスク大きめ,7700.0,22.0,15,1,0.00926054956695325,97.34700408533345,C,513.0,350.0
Ｆ水柱の水まんじゅう（ラ,7748.0,52.0,11,3,0.00931827766814984,97.33774353576649,C,704.0,149.0
ねぎたっぷり！豚肉そば,7756.0,14.0,10,2,0.009327899018349274,97.32842525809835,C,776.0,554.0
キャメルクラフト１,7790.0,19.0,15,1,0.00936878975669686,97.31909735908,C,519.0,410.0
メビウスＥＸＬ１００Ｂ,7920.0,15.0,13,1,0.009525136697437629,97.30026116072708,C,609.0,528.0
ＧＰｌａｙ１０００,8000.0,8.0,8,1,0.009621350199431947,97.26206319776655,C,1000.0,1000.0
ひざ下２足ヌードベージュ,8000.0,16.0,16,1,0.009621350199431947,97.27168454796599,C,500.0,500.0
ペタグーソーダ,8100.0,54.0,15,2,0.009741617076924848,97.23307888029076,C,540.0,150.0
週刊　漫画タイムス,8134.0,22.0,15,1,0.009782507815272432,97.21358001144284,C,542.0,370.0
紅はるかのスイートポテト,8184.0,31.0,9,3,0.009842641254018883,97.20379750362757,C,909.0,264.0
きのこベーコン醤油パスタ,8198.0,19.0,13,2,0.009859478616867888,97.18410500510687,C,631.0,431.0
ハリボーハッピーコーラ,8316.0,42.0,15,3,0.01000139353230951,97.1444361782346,C,554.0,198.0
ホロチャージホロライブＧ,8320.0,32.0,9,1,0.010006204207409226,97.1344347847023,C,924.0,260.0
シゲキックスグレープ,8400.0,70.0,16,3,0.010102417709403545,97.11441516027482,C,525.0,120.0
３１マスコットつきグミ２,8400.0,24.0,14,1,0.010102417709403545,97.10431274256541,C,600.0,350.0
◎フルーツミックス５００,8512.0,76.0,11,2,0.010237116612195592,97.08399245094421,C,774.0,112.0
フルーツこれ１本ビタミン,8550.0,57.0,7,2,0.010282818025642895,97.06349897501941,C,1221.0,150.0
完熟トマトベーコンパスタ,8576.0,16.0,10,1,0.010314087413791048,97.05321615699377,C,858.0,536.0
ガルボチョコパウチ,8640.0,32.0,16,1,0.010391058215386504,97.04290206957998,C,540.0,270.0
Ｆグレイシアラムネわらび,8736.0,56.0,11,3,0.010506514417779687,97.03251101136459,C,794.0,156.0
ワンピカード　師弟の絆,8800.0,44.0,16,2,0.010583485219375143,97.01149798252902,C,550.0,200.0
大きいフィナンシェ,8840.0,40.0,12,3,0.010631591970372303,96.9796849880946,C,737.0,221.0
◎おいものマドレーヌ,8851.0,53.0,14,3,0.01064482132689652,96.95840977746612,C,632.0,167.0
◎生スコーン６個入（チー,8944.0,52.0,8,2,0.010756669522964918,96.94776495613922,C,1118.0,172.0
タフグミ梅マニア,9044.0,38.0,8,2,0.010876936400457818,96.9261313502158,C,1130.0,238.0
Ｈ伊右衛門焙じ茶,9108.0,66.0,9,1,0.010953907202053274,96.90437747741487,C,1012.0,138.0
手巻寿司　サーモン（青ま,9200.0,40.0,10,3,0.011064552729346741,96.89342357021282,C,920.0,230.0
伝説のケバブ風味ポテトＣ,9264.0,48.0,11,3,0.011141523530942197,96.88235901748347,C,842.0,193.0
◎レモネードソーダ,9300.0,50.0,10,1,0.01118481960683964,96.84887431345189,C,930.0,186.0
手巻寿司　青しそ納豆,9310.0,49.0,13,1,0.01119684629458893,96.83768949384505,C,716.0,190.0
くりーむパン　カスタード,9360.0,36.0,7,2,0.01125697973333538,96.81529219324953,C,1337.0,260.0
Ｆリーフィアロールケーキ,9405.0,57.0,15,3,0.011311099828207185,96.8040352135162,C,627.0,165.0
ミニチーズおかきお好み焼,9408.0,64.0,17,2,0.011314707834531972,96.792724113688,C,553.0,147.0
くりーむパン　和栗,9415.0,35.0,10,2,0.011323126515956475,96.78140940585347,C,942.0,269.0
来来亭監修　冷し中華,9418.0,17.0,9,1,0.011326734522281261,96.7700862793375,C,1046.0,554.0
漫　画　ゴラク,9500.0,19.0,16,1,0.011425353361825439,96.74738229820439,C,594.0,500.0
◎はちみつすいーとぽてと,9504.0,54.0,15,2,0.011430164036925155,96.73595694484256,C,634.0,176.0
ショコラ＆ホイップパイ,9560.0,40.0,12,2,0.011497513488321178,96.72452678080563,C,797.0,239.0
純連冷し味噌ラーメン,9584.0,16.0,15,1,0.011526377538919474,96.71302926731731,C,639.0,599.0
アスティーグ肌　Ｍ,9600.0,16.0,17,2,0.011545620239318337,96.68996809355805,C,565.0,600.0
ポケカ拡張　バトルＰ,9676.0,59.0,2,2,0.011637023066212941,96.66685279970392,C,4838.0,164.0
ビッグ　コミック,9686.0,22.0,11,2,0.011649049753962231,96.6552157766377,C,881.0,440.0
大きな　月見おむすびマヨ,9728.0,32.0,1,2,0.011699561842509249,96.64356672688375,C,9728.0,304.0
Ｌｉｐｔｏｎチャームグミ,9800.0,28.0,10,2,0.011786153994304136,96.62011107776631,C,980.0,350.0
ポケカメガディアンシー,9822.0,6.0,5,3,0.011812612707352574,96.608324923772,C,1964.0,1637.0
ポケカメガゲンガーｅｘ,9822.0,6.0,3,3,0.011812612707352574,96.59651231106464,C,3274.0,1637.0
ケント・１・ＫＳ・ＢＯＸ,9933.0,21.0,17,1,0.011946108941369693,96.57284138423648,C,584.0,473.0
サントリー生ビール３５０,9964.0,47.0,13,2,0.01198339167339249,96.56089527529511,C,766.0,212.0
ＡｐｐｌｅＧＣ＿５千,10000.0,2.0,2,1,0.012026687749289935,96.53688519587243,C,5000.0,5000.0
ルックア・ラ・モード,10000.0,50.0,10,2,0.012026687749289935,96.54891188362171,C,1000.0,200.0
センティアＳバイオレット,10122.0,21.0,16,1,0.012173413339831272,96.51268509478331,C,633.0,482.0
センティアＳゴールド,10122.0,21.0,16,1,0.012173413339831272,96.50051168144347,C,633.0,482.0
センティアＦエメラルド,10122.0,21.0,13,1,0.012173413339831272,96.52485850812315,C,779.0,482.0
スイートポテトロール,10212.0,37.0,11,3,0.012281653529574882,96.47610953200015,C,928.0,276.0
ラーク・マイルド・ＢＯＸ,10311.0,21.0,18,2,0.012400717738292853,96.45152457690305,C,573.0,491.0
スーパー大麦　梅ひじき,10325.0,59.0,15,1,0.012417555101141859,96.43912385916477,C,688.0,175.0
牛乳パン,10350.0,45.0,18,1,0.012447621820515082,96.42670630406363,C,575.0,230.0
一番搾り糖質ゼロ３５０,10368.0,48.0,11,1,0.012469269858463805,96.41425868224312,C,943.0,216.0
ＳＤブラックピンク３５０,10368.0,48.0,4,2,0.012469269858463805,96.40178941238466,C,2592.0,216.0
ビッグコミックスピリッツ,10388.0,22.0,14,1,0.012493323233962383,96.3893201425262,C,742.0,472.0
コミック,10400.0,20.0,12,2,0.012507755259261533,96.37682681929223,C,867.0,520.0
テリアＢルビーＭ１０Ｐ,10546.0,2.0,2,1,0.012683344900401164,96.33895237423218,C,5273.0,5273.0
テリアスムースＲ１０Ｐ,10546.0,2.0,2,1,0.012683344900401164,96.35163571913257,C,5273.0,5273.0
メビウスワン１００Ｂ１０,10546.0,2.0,2,1,0.012683344900401164,96.36431906403297,C,5273.0,5273.0
スイートポテトスティック,10600.0,50.0,13,2,0.012748289014247332,96.28810474109696,C,815.0,212.0
