商品名,売上金額,売上数量,販売日数,取扱店舗数,構成比,累積構成比,ABCランク,1日平均売上,平均単価
Ｆ謹製塩豆大福,2171.0,13.0,7,1,0.002610993910370845,99.51599437021108,C,310.0,167.0
ソフト携帯吸殻入れ,2184.0,8.0,8,3,0.002626628604444922,99.51338337630071,C,273.0,273.0
カロリーメイトチョコ,2200.0,10.0,10,1,0.002645871304843786,99.50811087639141,C,220.0,220.0
たべっ子グミパイナップル,2200.0,11.0,10,1,0.002645871304843786,99.51075674769626,C,220.0,200.0
お手軽！冷しぶっかけそば,2208.0,8.0,8,1,0.0026554926550432178,99.50280951243153,C,276.0,276.0
まるで桃みたいなケーキ,2208.0,8.0,4,2,0.0026554926550432178,99.50015401977649,C,552.0,276.0
◎フルーツＣ塩レモン,2208.0,8.0,8,1,0.0026554926550432178,99.50546500508656,C,276.0,276.0
ｉｎバープロテインバニラ,2210.0,13.0,9,2,0.0026578979925930757,99.49749852712145,C,246.0,170.0
国産チキン彩り野菜うどん,2216.0,4.0,3,1,0.0026651140052426497,99.49484062912886,C,739.0,554.0
増量明太海苔弁当,2220.0,4.0,4,1,0.0026699246803423655,99.49217551512362,C,555.0,555.0
さつまりこ焼きいも,2220.0,12.0,6,1,0.0026699246803423655,99.48950559044327,C,370.0,185.0
ふわしゅわスフレレモン,2241.0,9.0,7,2,0.0026951807246158744,99.48683566576292,C,320.0,249.0
のむフルーチェイチゴ,2241.0,9.0,5,1,0.0026951807246158744,99.48414048503831,C,448.0,249.0
◎おこめチップスのりしお,2241.0,9.0,9,1,0.0026951807246158744,99.4814453043137,C,249.0,249.0
ブルガリアＹＯ　苺,2252.0,14.0,9,2,0.0027084100811400934,99.47875012358908,C,250.0,161.0
チキンチェダーたまご,2260.0,5.0,1,1,0.0027180314313395254,99.47604171350794,C,2260.0,452.0
メビウスＥ６　１００Ｓ,2275.0,5.0,4,1,0.00273607146296346,99.4733236820766,C,569.0,455.0
ポテトＣおたくのマヨ味,2280.0,12.0,10,1,0.002742084806838105,99.47058761061363,C,228.0,190.0
綴じノートＢ５Ａ罫,2288.0,11.0,11,1,0.002751706157037537,99.4678455258068,C,208.0,208.0
チーズあじカカールアーモ,2300.0,10.0,10,1,0.0027661381823366853,99.46509381964975,C,230.0,230.0
ぶどうきゃん,2304.0,18.0,15,1,0.002770948857436401,99.46232768146741,C,154.0,128.0
◎ファミマ・ザ・クリーム,2304.0,18.0,8,1,0.002770948857436401,99.45955673260998,C,288.0,128.0
最強王図鑑激闘バトルグミ,2316.0,12.0,6,1,0.002785380882735549,99.45678578375255,C,386.0,193.0
ミックスアイス,2320.0,5.0,5,1,0.002790191557835265,99.45400040286981,C,464.0,464.0
グミチョコ苺,2330.0,10.0,6,1,0.002802218245584555,99.45121021131197,C,388.0,233.0
納豆細巻寿司（２巻増量）,2334.0,6.0,6,1,0.002807028920684271,99.44840799306638,C,389.0,389.0
ドリトス激辛ナチョチーズ,2340.0,13.0,10,1,0.002814244933333845,99.44278671921236,C,234.0,180.0
婦人リブＳ白,2340.0,6.0,8,1,0.002814244933333845,99.4456009641457,C,292.0,390.0
堅あげ極味玉ねぎ黒胡椒,2352.0,12.0,7,1,0.002828676958632993,99.43997247427903,C,336.0,196.0
