商品名,売上金額,売上数量,販売日数,取扱店舗数,構成比,累積構成比,ABCランク,1日平均売上,平均単価,潜在売上,機会ロス金額
サンドおむすび　豚焼肉,129846.0,402.0,29,3,0.15616172974943007,58.97162703514253,A,4477.0,323.0,411884.0,282038.0
鮭わかめおむすび,257011.0,1849.0,58,3,0.30909910451327555,37.64845638124205,A,4431.0,139.0,407652.0,150641.0
三陸産わかめおむすび,70334.0,506.0,16,3,0.08458850561585583,73.14774726969219,A,4396.0,139.0,404432.0,334098.0
青しそ高菜おむすび,113146.0,814.0,26,3,0.1360771612081159,63.01366208877608,A,4352.0,139.0,400384.0,287238.0
チキン南蛮サンド,120663.0,327.0,28,1,0.14511762238925716,60.76892291377825,A,4309.0,369.0,396428.0,275765.0
こってり炒飯おむすび,121512.0,732.0,29,3,0.14613868817917186,60.62380529138899,A,4190.0,166.0,385480.0,263968.0
まいたけおこわ,62715.0,339.0,15,3,0.07542537221967183,75.94055342944418,A,4181.0,185.0,384652.0,321937.0
耐風ビニール傘７０,124128.0,144.0,30,2,0.14928486969438612,60.03262383372245,A,4138.0,862.0,380696.0,256568.0
伊右衛門　６００,213932.0,1354.0,53,3,0.25728933635810947,42.99477609993589,A,4036.0,158.0,371312.0,157380.0
青磯海苔　漬けサーモン,113828.0,572.0,29,3,0.13689738131261747,62.877584927567966,A,3925.0,199.0,361100.0,247272.0
綾鷹　６５０,179962.0,1139.0,46,2,0.21643467807377156,50.20604542386152,A,3912.0,158.0,359904.0,179942.0
全粒粉サラダチキンたまご,167157.0,453.0,44,1,0.20103450441080578,53.321403741043106,A,3799.0,369.0,349508.0,182351.0
鮭金ごまおむすび,83122.0,598.0,22,3,0.0999682339096478,70.08399426697407,A,3778.0,139.0,347576.0,264454.0
もち麦　枝豆ゆかり,162348.0,996.0,44,3,0.19525087027217222,54.50766811388207,A,3690.0,163.0,339480.0,177132.0
焦がし醤油風グリルチキン,126198.0,342.0,35,1,0.1517743940584891,59.43138325442239,A,3606.0,369.0,331752.0,205554.0
直巻　炙り焼　牛タン,104873.0,527.0,30,3,0.12612748243312832,65.52855194001113,A,3496.0,199.0,321632.0,216759.0
生ハム寿司,171296.0,808.0,51,3,0.2060123504702369,52.10178575506904,A,3359.0,212.0,309028.0,137732.0
耐風ビニール傘６５,76845.0,109.0,23,1,0.09241908200941851,71.80587319207152,A,3341.0,705.0,307372.0,230527.0
サーモン寿司,116130.0,490.0,35,3,0.139665924832504,62.18617545953639,A,3318.0,237.0,305256.0,189126.0
天然水１Ｌ,176232.0,1049.0,54,2,0.2119487235432864,51.05915972202617,A,3264.0,168.0,300288.0,124056.0
具だくさん炙り焼鶏つくね,115446.0,542.0,36,3,0.1388432993904526,62.325018758926845,A,3207.0,213.0,295044.0,179598.0
ベコンレタストマトサンド,201843.0,547.0,64,2,0.24275027353799286,44.490843138521456,A,3154.0,369.0,290168.0,88325.0
クラフトボス　ラテ,203838.0,1282.0,65,3,0.24514959774397616,44.24809286498346,A,3136.0,159.0,288512.0,84674.0
◎塩バターパン（チョコク,77844.0,499.0,25,3,0.09362054811557256,71.43428582335048,A,3114.0,156.0,286488.0,208644.0
Ｃボス　地中海スカッシュ,82502.0,497.0,27,3,0.09922257926919181,70.18321684624327,A,3056.0,166.0,281152.0,198650.0
塩こんぶおむすび,56295.0,405.0,19,2,0.06770423868462769,78.37516754529027,A,2963.0,139.0,272596.0,216301.0
梅づくしおむすび,67424.0,392.0,23,3,0.08108873948081247,74.14426418457306,A,2931.0,172.0,269652.0,202228.0
たまご海老ブロコリサンド,62988.0,181.0,22,2,0.07575370079522745,75.789637740891,A,2863.0,348.0,263396.0,200408.0
コク旨たまごサンド,182988.0,663.0,65,3,0.22007395378670666,49.11609918520029,A,2815.0,276.0,258980.0,75992.0
高菜の寿司,66352.0,377.0,24,3,0.07979947855408859,74.62635516567212,A,2765.0,176.0,254380.0,188028.0
◎Ｆボス　ラテ　４５０,96188.0,692.0,35,2,0.11568230412287003,67.21370256339104,A,2748.0,139.0,252816.0,156628.0
おーいお茶緑茶　６００,75682.0,479.0,28,2,0.0910203782241761,72.08100893038079,A,2703.0,158.0,248676.0,172994.0
◎ベーコン＆チーズデニッ,99066.0,627.0,37,3,0.11914358485711567,66.86324367970795,A,2677.0,158.0,246284.0,147218.0
野沢菜いなり寿司,58712.0,328.0,22,2,0.07061108911363106,77.61358596224792,A,2669.0,179.0,245548.0,186836.0
ジョージア　ブラック,177459.0,1191.0,69,3,0.21342439813012426,50.63495198639567,A,2572.0,149.0,236624.0,59165.0
しらすおむすび,53460.0,324.0,21,2,0.064294672707704,79.0326112417803,A,2546.0,165.0,234232.0,180772.0
専ＵＦＯ大盛焼そばパンガ,53268.0,193.0,21,3,0.06406376030291763,79.09667500208322,A,2537.0,276.0,233404.0,180136.0
天然水きりっとヨグ,117024.0,736.0,47,3,0.14074111071729054,61.76611452584184,A,2490.0,159.0,229080.0,112056.0
週刊少年マガジン,62244.0,171.0,25,2,0.07485891522668027,76.09027607057264,A,2490.0,364.0,229080.0,166836.0
大きなたまごづくしサンド,64575.0,175.0,26,2,0.07766233614103975,75.25244408453099,A,2484.0,369.0,228528.0,163953.0
◎ふんわりもっちパン（チ,135424.0,1058.0,57,3,0.16287021617598402,58.17395576750211,A,2376.0,128.0,218592.0,83168.0
わさび海苔　野沢菜わさび,68075.0,389.0,29,3,0.08187167685329123,73.90061912546652,A,2347.0,175.0,215924.0,147849.0
◎黒胡椒香るチーズフラン,109296.0,594.0,49,3,0.13144688642463928,64.4928123883735,A,2231.0,184.0,205252.0,95956.0
烏龍茶　６００,56880.0,360.0,26,2,0.06840779991796116,78.23938263259446,A,2188.0,158.0,201296.0,144416.0
１００％　オレンジ,69552.0,414.0,32,1,0.08364801863386136,73.6522042819986,A,2174.0,168.0,200008.0,130456.0
◎夏のベイクドチーズＣ,60168.0,436.0,28,2,0.07236217484992769,76.82839478848493,A,2149.0,138.0,197708.0,137540.0
ＭＶＰＧフローズンウィズ,115206.0,211.0,54,2,0.13855465888446963,62.60221106084125,A,2133.0,546.0,196236.0,81030.0
ＭＶＰＧレギュラーウィズ,124488.0,228.0,59,2,0.14971783045336054,59.88333896402806,A,2110.0,546.0,194120.0,69632.0
◎ピリ辛明太フランス（か,61155.0,453.0,29,3,0.07354920893078261,76.61003343503371,A,2109.0,135.0,194028.0,132873.0
◎ハムチーズエッグマフィ,136968.0,878.0,65,3,0.1647271367644744,57.35657997465324,A,2107.0,156.0,193844.0,56876.0
サンド寿司　サーモン,73814.0,221.0,36,2,0.08877379295260873,72.7108609998364,A,2050.0,334.0,188600.0,114786.0
ハムレタスたまごサンド,115275.0,435.0,57,2,0.13863764302993975,62.46365640195678,A,2022.0,265.0,186024.0,70749.0
◎白生コッペパン（レアチ,58599.0,383.0,29,3,0.0704751875420641,77.68406114978998,A,2021.0,153.0,185932.0,127333.0
本まぐろわさび醤油おむす,64120.0,229.0,32,1,0.07711512184844706,75.48395782370483,A,2004.0,280.0,184368.0,120248.0
Ｃボス　フルーツエード,87802.0,614.0,44,3,0.1055967237763155,68.75649809455767,A,1996.0,143.0,183632.0,95830.0
アクエリアス　９５０,97608.0,588.0,49,1,0.1173900937832692,66.98063377349122,A,1992.0,166.0,183264.0,85656.0
ＭＶＧレッドＭウィズ,134316.0,246.0,68,2,0.16153765917336269,58.497727431069514,A,1975.0,546.0,181700.0,47384.0
◎もっち歩き（チョコ）,55250.0,442.0,28,2,0.06644744981482689,78.50892596110032,A,1973.0,125.0,181516.0,126266.0
◎クランベリー＆チーズク,125538.0,854.0,64,2,0.15098063266703599,59.7336211335747,A,1962.0,147.0,180504.0,54966.0
岩下の新生姜いなり寿司,84175.0,455.0,43,3,0.10123464412964804,69.68301487606254,A,1958.0,185.0,180136.0,95961.0
週刊少年ジャンプ,87786.0,309.0,47,2,0.10557748107591662,68.86207557563358,A,1868.0,284.0,171856.0,84070.0
◎生コッペパン（厚ぎりと,51750.0,225.0,28,3,0.06223810910257542,79.53882415049813,A,1848.0,230.0,170016.0,118266.0
キャメルリッチプルーム,128310.0,282.0,71,3,0.15431443051113916,59.125941465653675,A,1807.0,455.0,166244.0,37934.0
◎プリンみたいなパン,73661.0,619.0,41,3,0.08858978463004459,72.79945078446644,A,1797.0,119.0,165324.0,91663.0
オレンジ,123480.0,392.0,69,2,0.14850554032823213,60.32964333306033,A,1790.0,315.0,164680.0,41200.0
◎マラサダ（マカダミアチ,62181.0,423.0,35,3,0.07478314709385975,76.1650592176665,A,1777.0,147.0,163484.0,101303.0
クラフトボスイタリアーノ,64236.0,404.0,38,1,0.07725463142633883,75.32969871595733,A,1690.0,159.0,155480.0,91244.0
ＭＶＰＧメンソールウィズ,108654.0,199.0,65,2,0.13067477307113487,64.88596962157288,A,1672.0,546.0,153824.0,45170.0
◎オレンジ香アールグレイ,99990.0,909.0,62,1,0.12025485080515007,66.3851816390049,A,1613.0,110.0,148396.0,48406.0
ＭＶシトラスＯＰプルーム,112622.0,244.0,72,2,0.1354469627700531,63.691952845810725,A,1564.0,462.0,143888.0,31266.0
かぶり寿司　唐揚げ巻,54619.0,193.0,35,2,0.0656885658178467,78.83829364247747,A,1561.0,283.0,143612.0,88993.0
タリーズ　無糖ラテ,86190.0,507.0,56,2,0.10365802171112995,69.07030083664968,A,1539.0,170.0,141588.0,55398.0
◎お肉たっぷりメンチカツ,76728.0,417.0,50,1,0.09227836976275182,71.89815156183427,A,1535.0,184.0,141220.0,64492.0
ＭＶコールドＭプルーム,99085.0,215.0,65,2,0.11916643556383934,66.74410009485084,A,1524.0,461.0,140208.0,41123.0
◎バタークロワッサンメロ,62769.0,427.0,42,3,0.07549031633351799,75.86512805722451,A,1494.0,147.0,137448.0,74679.0
◎パン・オ・ショコラ４個,70104.0,381.0,48,2,0.08431189179762216,73.31651537354043,A,1460.0,184.0,134320.0,64216.0
アイスコーヒーＳ,97605.0,723.0,67,1,0.11738648577694441,67.09802025926817,A,1457.0,135.0,134044.0,36439.0
◎もちっとつぶあんドーナ,54875.0,439.0,38,3,0.06599644902422852,78.64098741126894,A,1444.0,125.0,132848.0,77973.0
テリアＢフューシャＭ,57552.0,109.0,40,2,0.06921599333471343,78.10176365001688,A,1439.0,528.0,132388.0,74836.0
ケントエス・スパーク１,100100.0,220.0,71,3,0.12038714437039226,66.26492678819974,A,1410.0,455.0,129720.0,29620.0
Ｗ・Ｃレッド８・ＢＯＸ,102128.0,208.0,73,3,0.12282615664594825,66.02276943036779,A,1399.0,491.0,128708.0,26580.0
ＭＶＧパープルＭウィズ,69888.0,128.0,50,2,0.0840521153422375,73.48475430312769,A,1398.0,546.0,128616.0,58728.0
国チキンとゴーダとたまご,54932.0,124.0,40,1,0.06606500114439948,78.57499096224471,A,1373.0,443.0,126316.0,71384.0
◎しみ旨フレンチトースト,83376.0,579.0,62,3,0.10027371177847977,69.88397601767808,A,1345.0,144.0,123740.0,40364.0
ケントＴベリーブースト,92207.0,211.0,69,3,0.1108944797298777,68.00812422000159,A,1336.0,437.0,122912.0,30705.0
おーいお茶濃い茶６００,53088.0,336.0,40,1,0.06384727992343041,79.16052228200665,A,1327.0,158.0,122084.0,68996.0
キャメＭマスカットＰＬ,77805.0,171.0,59,2,0.09357364403335035,71.52785946738383,A,1319.0,455.0,121348.0,43543.0
センティアＤブロンズ,84832.0,176.0,66,2,0.10202479751477637,69.37838128071058,A,1285.0,482.0,118220.0,33388.0
◎ホットサンド（ハム＆チ,79158.0,501.0,62,3,0.09520085488582927,71.15164903989198,A,1277.0,158.0,117484.0,38326.0
◎ハムチーズクロワッサン,67635.0,501.0,54,3,0.08134250259232248,73.98196162805884,A,1252.0,135.0,115184.0,47549.0
メビウス・ワン・ＢＯＸ,67056.0,127.0,54,1,0.08064615737163859,74.30584754515986,A,1242.0,528.0,114264.0,47208.0
メビウスワン,59136.0,112.0,48,3,0.07112102067420095,77.40139790761843,A,1232.0,528.0,113344.0,54208.0
ケントトゥルータバコ,67298.0,154.0,55,3,0.08093720321517141,74.22520138778823,A,1224.0,437.0,112608.0,45310.0
◎白生クリームパン（ダブ,64827.0,441.0,53,3,0.07796540867232186,74.9416420010324,A,1223.0,147.0,112516.0,47689.0
◎ハムチーズマヨネーズ２,80460.0,596.0,66,3,0.09676672963078682,70.76928816428513,A,1219.0,135.0,112148.0,31688.0
◎ボディＰレモンミント,79100.0,226.0,66,3,0.09513110009688339,71.24678013998886,A,1198.0,350.0,110216.0,31116.0
週　刊　文　春,50605.0,105.0,44,2,0.06086105335528171,79.9695479455512,A,1150.0,482.0,105800.0,55195.0
センティアＣジェイド,64588.0,134.0,57,2,0.07767797083511384,75.09710858822993,A,1133.0,482.0,104236.0,39648.0
◎ジューシーソーセージパ,63990.0,474.0,57,3,0.07695877490770629,75.56091659861254,A,1123.0,135.0,103316.0,39326.0
超快適マスクふつう,63350.0,181.0,58,1,0.07618906689175174,75.71388404009576,A,1092.0,350.0,100464.0,37114.0
◎生コッペパン（あんバタ,75060.0,556.0,70,2,0.09027231824617026,72.44363641672861,A,1072.0,135.0,98624.0,23564.0
ネオアークティックＭ,73255.0,161.0,69,3,0.08810150110742342,72.88755228557386,A,1062.0,455.0,97704.0,24449.0
ケント・１・１００ＢＯＸ,77099.0,163.0,73,3,0.09272455987825047,71.7134541100621,A,1056.0,473.0,97152.0,20053.0
◎ぶどうぱん（シュガーマ,50688.0,396.0,48,2,0.06096087486360082,79.90868689219592,A,1056.0,128.0,97152.0,46464.0
テリアフュージョンＭ,54384.0,103.0,52,2,0.06540593865573839,78.90369958113321,A,1046.0,528.0,96232.0,41848.0
メビＰメンＯＰＰ５,55968.0,106.0,54,1,0.06731096599522592,78.44247851128549,A,1036.0,528.0,95312.0,39344.0
マッチ　５００,62100.0,414.0,60,1,0.0746857309230905,76.23974494858959,A,1035.0,150.0,95220.0,33120.0
ＭＶディープＲプルーム,59618.0,130.0,58,2,0.07170070702371674,77.18746237525896,A,1028.0,459.0,94576.0,34958.0
マルボロ・ブラックＭ８,50778.0,93.0,50,2,0.06106911505334443,79.84772601733232,A,1016.0,546.0,93472.0,42694.0
◎ベーコンペッパーマヨ,65703.0,543.0,66,2,0.07901894651915965,74.78466125384725,A,996.0,121.0,91632.0,25929.0
モンスターエナジー,61344.0,288.0,62,2,0.07377651332924418,76.53648422610293,A,989.0,213.0,90988.0,29644.0
キャメルクラフト６,61910.0,151.0,66,3,0.07445722385585399,76.31420217244545,A,938.0,410.0,86296.0,24386.0
黒ラベル３５０,58968.0,273.0,63,1,0.0709189723200129,77.47231687993845,A,936.0,216.0,86112.0,27144.0
今治ＴＨドット,52200.0,87.0,57,1,0.06277931005129346,79.47658604139555,A,916.0,600.0,84272.0,32072.0
６種具材の冷し中華,54672.0,102.0,60,2,0.06575230726291793,78.77260507665962,A,911.0,536.0,83812.0,29140.0
メビウスＳＬ１００Ｂ,51744.0,98.0,58,2,0.06223089308992584,79.60105504358806,A,892.0,528.0,82064.0,30320.0
マルボロアイスＢ・Ｍ５,52416.0,96.0,60,2,0.06303908650667812,79.35076764483757,A,874.0,546.0,80408.0,27992.0
超快適マスクやや大きめ,57750.0,165.0,69,1,0.06945412175214938,77.96324988187077,A,837.0,350.0,77004.0,19254.0
◎バタークロワッサンメ３,58188.0,373.0,70,2,0.06998089067556829,77.82413718467474,A,831.0,156.0,76452.0,18264.0
