商品名,売上金額,売上数量,販売日数,取扱店舗数,構成比,累積構成比,ABCランク,1日平均売上,平均単価,フェイスくくり大分類
テリアリッチレギュラー,284592.0,539.0,90,3,0.3422699119945921,34.744938547414,A,3162.0,528.0,290:たばこ
ゆでたまご＆ハムミックス,276811.0,857.0,76,3,0.3329119462568696,35.07785049367087,A,3642.0,323.0,110:調理パン
センティアクリアシルバー,272812.0,566.0,88,3,0.32810247382592855,35.4059529674968,A,3100.0,482.0,290:たばこ
大きな　昆布とツナマヨ,271959.0,1011.0,92,3,0.32707659736091416,35.733029564857716,A,2956.0,269.0,100:米飯
◎北海道メロンパン,271375.0,2171.0,92,3,0.32637423879635563,36.05940380365407,A,2950.0,125.0,145:パン
手巻　辛子明太子,270465.0,1387.0,92,2,0.32527981021117025,36.38468361386524,A,2940.0,195.0,100:米飯
グリーンダカラ麦茶６８０,267140.0,1805.0,59,3,0.3212809365345314,36.70596455039977,A,4528.0,148.0,215:ドライ飲料
テリアＢルビーＭ,266112.0,504.0,88,3,0.3200445930339043,37.026009143433676,A,3024.0,528.0,290:たばこ
大きな　鮭マヨと生たらこ,260544.0,944.0,29,3,0.3133481332950997,37.33935727672878,A,8984.0,276.0,100:米飯
鮭わかめおむすび,257011.0,1849.0,58,3,0.30909910451327555,37.64845638124205,A,4431.0,139.0,100:米飯
マルボロゴールドＢ,253890.0,465.0,90,3,0.3053455752667222,37.95380195650877,A,2821.0,546.0,290:たばこ
ペプシコーラ　６００,252200.0,1940.0,92,2,0.30331306503709216,38.257115021545864,A,2741.0,130.0,215:ドライ飲料
高菜たくあんおむすび,252045.0,1867.0,36,3,0.3031266513769782,38.56024167292284,A,7001.0,135.0,100:米飯
◎のむヨーグルトプレーン,246021.0,1655.0,92,3,0.29588177467680593,38.85612344759965,A,2674.0,149.0,135:牛乳・チルド飲料
◎ひと口もち食感チーズ（,243615.0,1635.0,92,2,0.29298815360432673,39.14911160120398,A,2648.0,149.0,145:パン
