商品名,売上金額,売上数量,販売日数,取扱店舗数,構成比,累積構成比,ABCランク,1日平均売上,平均単価,フェイスくくり大分類
ヤング　ジャンプ,42254.0,97.0,25,2,0.05081756641584969,83.40166035399842,B,1690.0,436.0,265:雑誌・コミック・新聞
ウィルキンソンＥＸグレプ,42120.0,360.0,23,3,0.050656408800009205,83.45231676279843,B,1831.0,117.0,215:ドライ飲料
◎こだわりのワッフル,41760.0,290.0,88,3,0.05022344804103478,83.50254021083947,B,475.0,144.0,185:洋風菓子・駄菓子
◎こだわりのワッフル,41760.0,290.0,88,3,0.05022344804103478,83.50254021083947,B,475.0,144.0,148:半生菓子
炙り豚焼肉マヨネーズ,41676.0,151.0,14,2,0.05012242386394074,83.55266263470341,B,2977.0,276.0,100:米飯
焼ベーコン寿司,41630.0,181.0,28,3,0.050067101100294005,83.6027297358037,B,1487.0,230.0,100:米飯
カルピス　ひんやりライチ,41440.0,259.0,18,3,0.049838594033057494,83.65256832983677,B,2302.0,160.0,215:ドライ飲料
ＭＶアップルＯＰプルーム,41418.0,90.0,43,2,0.049812135320009054,83.70238046515678,B,963.0,460.0,290:たばこ
韓国風海苔佃煮おむすび,41307.0,281.0,43,3,0.04967863908599193,83.75205910424278,B,961.0,147.0,100:米飯
ちぎれるブリオッシュパン,40866.0,278.0,22,3,0.04914826215624825,83.80120736639903,B,1858.0,147.0,145:パン
きりっと果実　ピンクＧＦ,40863.0,257.0,54,2,0.049144654149923465,83.85035202054895,B,757.0,159.0,215:ドライ飲料
◎４種のフルーツケーキ,40560.0,260.0,82,3,0.04878024551111998,83.89913226606008,B,495.0,156.0,185:洋風菓子・駄菓子
◎４種のフルーツケーキ,40560.0,260.0,82,3,0.04878024551111998,83.89913226606008,B,495.0,156.0,148:半生菓子
ケントＮＳブライトタバコ,40500.0,81.0,22,1,0.04870808538462424,83.9478403514447,B,1841.0,500.0,290:たばこ
トロピカーナアップル,40440.0,337.0,89,1,0.0486359252581285,83.99647627670282,B,454.0,120.0,135:牛乳・チルド飲料
ジョージア　カフェモカ,40320.0,240.0,18,3,0.048491605005137016,84.04496788170796,B,2240.0,168.0,215:ドライ飲料
いかめしおむすび,39216.0,152.0,24,3,0.04716385867761541,84.09213174038558,B,1634.0,258.0,100:米飯
◎デニッシュブレッド３枚,39156.0,251.0,86,1,0.04709169855111967,84.1392234389367,B,455.0,156.0,145:パン
日本経済新聞,39130.0,215.0,80,3,0.04706042916297152,84.18628386809966,B,489.0,182.0,265:雑誌・コミック・新聞
クランキーＰＪクランチＣ,39025.0,223.0,84,2,0.04693414894160397,84.23321801704127,B,465.0,175.0,185:洋風菓子・駄菓子
◎どかっとベーコンチーズ,38781.0,279.0,34,2,0.0466406977605213,84.27985871480179,B,1141.0,139.0,145:パン
ハムチーズとツナサンド,38760.0,120.0,15,3,0.04661544171624779,84.32647415651803,B,2584.0,323.0,110:調理パン
カジッテグレープ＆マスカ,38760.0,170.0,15,3,0.04661544171624779,84.37308959823427,B,2584.0,228.0,180:ガム・キャンディ
アクアリッチ　エッセンス,38720.0,44.0,34,1,0.046567334965250624,84.41965693319952,B,1139.0,880.0,220:化粧品
◎ベーコンチーズオニオン,38591.0,259.0,33,2,0.04641219069328479,84.46606912389281,B,1169.0,149.0,145:パン
レジ袋,38355.0,12785.0,92,3,0.046128360862401546,84.5121974847552,B,417.0,3.0,398:用度品
わさびいなり寿司,38270.0,215.0,28,3,0.046026134016532584,84.55822361877173,B,1367.0,178.0,100:米飯
こだわり酒場のレモン３５,38157.0,237.0,46,1,0.04589023244496561,84.6041138512167,B,830.0,161.0,305:ワイン・洋酒
キシリトール粒グレープ,37736.0,212.0,82,1,0.0453839088907205,84.64949776010742,B,460.0,178.0,180:ガム・キャンディ
◎生スコーン６個入（スイ,37324.0,217.0,32,3,0.04488840935544976,84.69438616946287,B,1166.0,172.0,145:パン
マルボロミディアムＢＯＸ,37128.0,68.0,47,2,0.04465268627556367,84.73903885573844,B,790.0,546.0,290:たばこ
◎グリルチキンやきとり,37128.0,168.0,72,1,0.04465268627556367,84.78369154201401,B,516.0,221.0,120:惣菜
ラッキーシガリロＳライト,36808.0,86.0,53,1,0.0442678322675864,84.8279593742816,B,694.0,428.0,290:たばこ
ＳＰＡＭむすび　玉子焼き,36800.0,115.0,18,2,0.044258210917386964,84.872217585199,B,2044.0,320.0,100:米飯
ピュレグミレモン味,36450.0,243.0,83,1,0.043837276846161816,84.91605486204516,B,439.0,150.0,180:ガム・キャンディ
ＧＩＮＯＮレモン３５０,36406.0,218.0,37,1,0.043784359420064936,84.95983922146522,B,984.0,167.0,305:ワイン・洋酒
１本満足シリアルブラック,36328.0,239.0,86,1,0.04369055125562048,85.00352977272084,B,422.0,152.0,200:健康食品
ＣＷワンタッチ開閉折傘,36252.0,18.0,13,2,0.04359914842872587,85.04712892114956,B,2789.0,2014.0,260:雨具
◎濃厚チョコパウンド,36210.0,170.0,79,1,0.04354863634017885,85.09067755748974,B,458.0,213.0,185:洋風菓子・駄菓子
◎濃厚チョコパウンド,36210.0,170.0,79,1,0.04354863634017885,85.09067755748974,B,458.0,213.0,148:半生菓子
キャメルクラフトＭ５,36080.0,88.0,51,2,0.04339228939943809,85.13406984688918,B,707.0,410.0,290:たばこ
ＧＰｌａｙ３０００,36000.0,12.0,12,1,0.04329607589744377,85.17736592278662,B,3000.0,3000.0,280:チケット・カード
フリスクＦＦマスカット,35862.0,129.0,66,1,0.043130107606503564,85.22049603039312,B,543.0,278.0,180:ガム・キャンディ
◎こだわりのマドレーヌ,35574.0,242.0,77,3,0.042783738999324014,85.26327976939244,B,462.0,147.0,185:洋風菓子・駄菓子
◎こだわりのマドレーヌ,35574.0,242.0,77,3,0.042783738999324014,85.26327976939244,B,462.0,147.0,148:半生菓子
カロリＭハーフチーズ味,35530.0,323.0,88,3,0.04273082157322714,85.30601059096567,B,404.0,110.0,200:健康食品
チ－ズインカレ－ハンバ－,35512.0,193.0,26,1,0.04270917353527842,85.34871976450094,B,1366.0,184.0,145:パン
ウィルキンソン　タンサン,35504.0,317.0,67,2,0.04269955218507898,85.39141931668603,B,530.0,112.0,215:ドライ飲料
テリアルビーレギュラー,35376.0,67.0,37,2,0.04254561058188807,85.43396492726791,B,956.0,528.0,290:たばこ
◎メロンクリームパン４,35256.0,226.0,29,1,0.0424012903288966,85.4763662175968,B,1216.0,156.0,145:パン
除菌アルコールタオル,35224.0,148.0,68,2,0.042362804928098866,85.51872902252491,B,518.0,238.0,240:紙・衛生用品
◎塩チョコフィナンシェ,35070.0,210.0,32,3,0.0421775939367598,85.56090661646166,B,1096.0,167.0,185:洋風菓子・駄菓子
◎塩キャラメルケーキタ３,35070.0,210.0,31,3,0.0421775939367598,85.60308421039842,B,1131.0,167.0,145:パン
冷しとろろそば,35052.0,69.0,48,2,0.04215594589881108,85.64524015629723,B,730.0,508.0,105:調理麺
チップスターＳコンソメ味,34992.0,243.0,86,2,0.04208378577231534,85.68732394206955,B,407.0,144.0,195:スナック菓子
忍者めし巨峰,34875.0,279.0,57,2,0.04194307352564865,85.7292670155952,B,612.0,125.0,180:ガム・キャンディ
ＢＩＣ電子ライター,34850.0,205.0,83,2,0.041913006806275424,85.77118002240147,B,420.0,170.0,255:電池・電器・喫煙具
あの日夢見た雲グミ,34713.0,203.0,42,3,0.041748241184110156,85.81292826358558,B,826.0,171.0,180:ガム・キャンディ
鎌倉コロッケサンド,34452.0,116.0,15,3,0.04143434463385368,85.85436260821943,B,2297.0,297.0,110:調理パン
◎完熟バナナパンケーキ,34362.0,249.0,30,2,0.04132610444411008,85.89568871266354,B,1145.0,138.0,145:パン
アクオクリアブルーミント,34340.0,202.0,80,1,0.04129964573106164,85.9369883583946,B,429.0,170.0,180:ガム・キャンディ
ポケカ拡張　ロケット団,34276.0,209.0,9,2,0.041222674929466185,85.97821103332407,B,3808.0,164.0,250:文具・玩具・趣味雑貨
キットカットバー,34220.0,233.0,83,1,0.04115532547807016,86.01936635880215,B,412.0,147.0,185:洋風菓子・駄菓子
チップスターＳうすしお味,34128.0,237.0,84,2,0.041044679950776694,86.06041103875292,B,406.0,144.0,195:スナック菓子
ミンティアワイルド＆クー,33915.0,323.0,86,2,0.04078851150171682,86.10119955025463,B,394.0,105.0,180:ガム・キャンディ
サラダチキンロール,33915.0,85.0,48,2,0.04078851150171682,86.14198806175635,B,707.0,399.0,110:調理パン
ホープ１０,33852.0,124.0,60,3,0.04071274336889629,86.18270080512525,B,564.0,273.0,290:たばこ
チョコラＢＢハイパー,33820.0,89.0,53,2,0.04067425796809856,86.22337506309334,B,638.0,380.0,205:健康サポート飲料
メビウスＥＭＯＰＰ１Ｓ,33670.0,74.0,48,1,0.040493857651859214,86.2638689207452,B,701.0,455.0,290:たばこ
◎手巻きソーセージドーナ,33496.0,212.0,24,3,0.04028459328502157,86.30415351403022,B,1396.0,158.0,145:パン
おむすび２個（鮭・昆布）,33491.0,107.0,51,1,0.04027857994114692,86.34443209397136,B,657.0,313.0,100:米飯
冷たい生パスタ海老トマト,33433.0,67.0,33,1,0.04020882515220104,86.38464091912357,B,1013.0,499.0,105:調理麺
りんごの目覚め,33396.0,121.0,33,1,0.04016432640752867,86.4248052455311,B,1012.0,276.0,135:牛乳・チルド飲料
かぶり寿司　甘辛そぼろマ,33394.0,118.0,30,3,0.04016192106997881,86.46496716660108,B,1113.0,283.0,100:米飯
◎クラウンメロンパン,33360.0,240.0,25,3,0.040121030331631224,86.50508819693272,B,1334.0,139.0,145:パン
２種チーズとハムサンド,33269.0,103.0,22,1,0.04001158747311269,86.54509978440583,B,1512.0,323.0,110:調理パン
メビウスＳＬＢ,33264.0,63.0,31,1,0.04000557412923804,86.58510535853507,B,1073.0,528.0,290:たばこ
ヱビス和奏３５０,33184.0,122.0,30,1,0.03990936062724372,86.62501471916232,B,1106.0,272.0,295:ビール
サントリー天然水　２Ｌ,33143.0,253.0,84,1,0.03986005120747163,86.66487477036979,B,395.0,131.0,215:ドライ飲料
たまご＆海老ブロサンド,33060.0,95.0,8,2,0.03976022969915253,86.70463500006895,B,4132.0,348.0,110:調理パン
◎天然水長野県安曇野２Ｌ,33040.0,295.0,85,1,0.03973617632365394,86.7443711763926,B,389.0,112.0,215:ドライ飲料
とろみーグミぶどう味,32936.0,179.0,20,3,0.03961109877106133,86.78398227516367,B,1647.0,184.0,180:ガム・キャンディ
イープラス　入金,32910.0,2.0,2,1,0.03957982938291318,86.82356210454658,B,16455.0,16455.0,280:チケット・カード
◎サラダチキンＳスモーク,32852.0,191.0,79,1,0.03951007459396729,86.86307217914054,B,416.0,172.0,120:惣菜
全粒粉サラダチキンとハム,32841.0,89.0,15,2,0.039496845237443075,86.90256902437798,B,2189.0,369.0,110:調理パン
セブンスター１０Ｐ,32730.0,6.0,6,2,0.03936334900342596,86.9419323733814,B,5455.0,5455.0,290:たばこ
◎５種のナッツ＆フルーツ,32636.0,162.0,73,1,0.039250298138582634,86.98118267151999,B,447.0,201.0,180:ガム・キャンディ
ＧＯＤＩＶＡドリンク,32554.0,82.0,24,3,0.039151679299038455,87.02033435081903,B,1356.0,397.0,135:牛乳・チルド飲料
日刊ゲンダイ,32416.0,197.0,80,3,0.03898571100809826,87.05932006182712,B,405.0,165.0,265:雑誌・コミック・新聞
◎つぶつぶいちご蒸しＣ,32400.0,240.0,23,3,0.03896646830769939,87.09828653013483,B,1409.0,135.0,145:パン
洗顔シート　石けんの香り,32226.0,131.0,69,1,0.03875720394086175,87.13704373407569,B,467.0,246.0,220:化粧品
ひとくちルマンド,32022.0,194.0,80,1,0.03851185951077623,87.17555559358647,B,400.0,165.0,185:洋風菓子・駄菓子
◎濃厚ミルクドーナツ,32000.0,320.0,91,3,0.03848540079772779,87.21404099438419,B,352.0,100.0,185:洋風菓子・駄菓子
◎濃厚ミルクドーナツ,32000.0,320.0,91,3,0.03848540079772779,87.21404099438419,B,352.0,100.0,148:半生菓子
銀座ライオンビヤ３５０,31968.0,148.0,30,2,0.03844691539693006,87.25248790978112,B,1066.0,216.0,295:ビール
◎塩バターケーキタルト,31899.0,217.0,23,3,0.03836393125145997,87.29085184103258,B,1387.0,147.0,145:パン
スウェディッシュキャンデ,31872.0,64.0,25,2,0.03833145919453688,87.32918330022711,B,1275.0,498.0,180:ガム・キャンディ
Ｃ玄米ブランメープル,31775.0,205.0,80,1,0.03821480032336877,87.36739810055049,B,397.0,155.0,200:健康食品
うまイチュウ青りんご味,31750.0,250.0,81,1,0.038184733603995547,87.40558283415449,B,392.0,127.0,180:ガム・キャンディ
ソルティグレフルグミ,31648.0,172.0,40,3,0.03806206138895279,87.44364489554344,B,791.0,184.0,180:ガム・キャンディ
テリアＯパール１０Ｐ,31638.0,6.0,6,2,0.038050034701203495,87.48169493024464,B,5273.0,5273.0,290:たばこ
◎ドライりんご,31464.0,114.0,61,1,0.03784077033436585,87.51953570057901,B,516.0,276.0,180:ガム・キャンディ
翠ジンソーダ３５０,31428.0,162.0,63,1,0.037797474258468404,87.55733317483748,B,499.0,194.0,305:ワイン・洋酒
アメスピＯＬゴールド,31324.0,82.0,54,1,0.03767239670587579,87.59500557154335,B,580.0,382.0,290:たばこ
麻辣湯,31248.0,126.0,38,1,0.037580993878981186,87.63258656542233,B,822.0,248.0,165:インスタント食品
大粒ラムネアイスボックス,31234.0,194.0,35,3,0.03756415651613219,87.67015072193846,B,892.0,161.0,180:ガム・キャンディ
◎北海道メロンのコロネ,31185.0,231.0,23,3,0.037505225746160664,87.70765594768461,B,1356.0,135.0,145:パン
秋味３５０,31104.0,144.0,29,1,0.037407809575391415,87.74506375726,B,1073.0,216.0,295:ビール
カルピス　リンゴ＆洋梨,30720.0,192.0,30,1,0.03694598476581868,87.78200974202582,B,1024.0,160.0,215:ドライ飲料
サクレグミレモン＆梨,30576.0,147.0,24,3,0.0367728004622289,87.81878254248805,B,1274.0,208.0,180:ガム・キャンディ
ハイチュウＰヨーグルト,30552.0,201.0,56,1,0.03674393641163061,87.85552647889968,B,546.0,152.0,180:ガム・キャンディ
じゃがりこチーズ,30525.0,165.0,70,2,0.036711464354707526,87.89223794325439,B,436.0,185.0,195:スナック菓子
専スヌーピーチョコドーナ,30420.0,195.0,21,3,0.036585184133339985,87.92882312738773,B,1449.0,156.0,145:パン
◎プリンみたいなパンケー,30360.0,220.0,20,3,0.03651302400684424,87.96533615139458,B,1518.0,138.0,145:パン
ベロブリージーマンゴーＭ,30264.0,104.0,32,2,0.03639756780445106,88.00173371919904,B,946.0,291.0,290:たばこ
もち麦　鮭ひじきしそ風味,30155.0,185.0,8,3,0.036266476907983805,88.03800019610702,B,3769.0,163.0,100:米飯
手巻　チャーシューマヨ,30155.0,163.0,9,3,0.036266476907983805,88.074266673015,B,3351.0,185.0,100:米飯
コーラアップ,30008.0,124.0,47,2,0.03608968459806924,88.11035635761307,B,638.0,242.0,180:ガム・キャンディ
エボコールドＭ　ＰＬＭ,30000.0,60.0,43,2,0.036080063247869804,88.14643642086094,B,698.0,500.0,290:たばこ
ＧＰｌａｙ５０００,30000.0,6.0,6,2,0.036080063247869804,88.1825164841088,B,5000.0,5000.0,280:チケット・カード
ＡｐｐｌｅＧＣ＿１万,30000.0,3.0,1,1,0.036080063247869804,88.21859654735667,B,30000.0,10000.0,280:チケット・カード
エボベリーＣＲ　ＰＬＭ,30000.0,60.0,37,2,0.036080063247869804,88.25467661060453,B,811.0,500.0,290:たばこ
◎やみつき種ぬき干し梅,29750.0,170.0,76,1,0.03577939605413756,88.29045600665867,B,391.0,175.0,180:ガム・キャンディ
野菜スティック味噌マヨ,29532.0,107.0,65,1,0.03551721426120304,88.32597322091988,B,454.0,276.0,115:サラダ
プリッツ旨サラダ,29344.0,224.0,85,2,0.035291112531516386,88.36126433345139,B,345.0,131.0,185:洋風菓子・駄菓子
ラッキーＳベリーＢ,29325.0,75.0,24,1,0.035268261824792736,88.39653259527618,B,1222.0,391.0,290:たばこ
１本満足シリアルチョコ,29184.0,192.0,80,1,0.03509868552752775,88.43163128080371,B,365.0,152.0,200:健康食品
アポロマイスタイル,29146.0,118.0,49,2,0.03505298411408044,88.46668426491779,B,595.0,247.0,185:洋風菓子・駄菓子
キシリトール粒フレッシュ,29014.0,163.0,75,1,0.03489423183578982,88.50157849675358,B,387.0,178.0,180:ガム・キャンディ
龍角散ののどすっきりタブ,29000.0,145.0,68,2,0.03487739447294081,88.53645589122652,B,426.0,200.0,180:ガム・キャンディ
のむアサイーボウル,28952.0,154.0,48,1,0.034819666371744225,88.57127555759827,B,603.0,188.0,135:牛乳・チルド飲料
ミンティアＢブラック,28696.0,136.0,51,2,0.0345117831653624,88.60578734076363,B,563.0,211.0,180:ガム・キャンディ
ラッキーＥＸカット１０,28676.0,67.0,43,3,0.03448772978986382,88.64027507055349,B,667.0,428.0,290:たばこ
ラムネアップ,28556.0,118.0,55,1,0.03434340953687234,88.67461848009036,B,519.0,242.0,180:ガム・キャンディ
明治Ｒ－１ドリンク,28531.0,194.0,77,2,0.034313342817499114,88.70893182290786,B,371.0,147.0,135:牛乳・チルド飲料
ネックバンドイヤホン　黒,28476.0,9.0,7,1,0.034247196034878025,88.74317901894274,B,4068.0,3164.0,255:電池・電器・喫煙具
じゃりむちグミピーチＳ,28350.0,162.0,23,3,0.034095659769236966,88.77727467871198,B,1233.0,175.0,180:ガム・キャンディ
週　刊　新　潮,28346.0,60.0,32,2,0.03409084909413725,88.81136552780612,B,886.0,472.0,265:雑誌・コミック・新聞
アメスピＯＭライト,28268.0,74.0,42,2,0.03399704092969279,88.84536256873581,B,673.0,382.0,290:たばこ
◎生フランスパン（おいも,28236.0,181.0,14,3,0.03395855552889506,88.8793211242647,B,2017.0,156.0,145:パン
◎つぶあんぱん北海道小豆,28072.0,232.0,44,1,0.03376131784980671,88.91308244211451,B,638.0,121.0,145:パン
手巻　たらこマヨネーズ,28012.0,149.0,13,2,0.033689157723310964,88.94677159983783,B,2155.0,188.0,100:米飯
テリアトロピカルＭ,27984.0,53.0,26,1,0.03365548299761296,88.98042708283545,B,1076.0,528.0,290:たばこ
龍角散のど飴ｍａｘＳＴ,27840.0,174.0,75,2,0.03348229869402318,89.01390938152947,B,371.0,160.0,180:ガム・キャンディ
チョコクリームたい焼き,27808.0,158.0,20,3,0.033443813293225454,89.0473531948227,B,1390.0,176.0,130:デザート
ミンティアＢＦピーチ,27641.0,131.0,52,1,0.033242967607812306,89.08059616243052,B,532.0,211.0,180:ガム・キャンディ
今治ＴＨ２５夏の色白,27600.0,46.0,35,3,0.03319365818804022,89.11378982061856,B,789.0,600.0,245:衣料品
アイルＣＲ電子ライター,27507.0,173.0,78,1,0.03308180999197183,89.14687163061053,B,353.0,159.0,255:電池・電器・喫煙具
だし醤油まぶし飯海苔佃煮,27456.0,176.0,9,3,0.033020473884450445,89.17989210449498,B,3051.0,156.0,100:米飯
もちゅグミ温州みかん味,27416.0,149.0,36,3,0.032972367133453286,89.21286447162844,B,762.0,184.0,180:ガム・キャンディ
マカダミアＰＪカラメリゼ,27300.0,156.0,73,1,0.03283285755556152,89.245697329184,B,374.0,175.0,185:洋風菓子・駄菓子
タフグミＰＲＯローヤル,27284.0,76.0,27,3,0.03281361485516266,89.27851094403916,B,1011.0,359.0,180:ガム・キャンディ
ヘアリングゴム黒,27200.0,136.0,69,3,0.03271259067806862,89.31122353471723,B,394.0,200.0,225:バス・洗面用品
伊右衛門　京都サイダー,27176.0,172.0,16,2,0.03268372662747033,89.3439072613447,B,1698.0,158.0,215:ドライ飲料
ミルク餅,27170.0,209.0,73,1,0.032676510614820756,89.37658377195952,B,372.0,130.0,190:和風菓子・珍味・豆菓子
ミルク餅,27170.0,209.0,73,1,0.032676510614820756,89.37658377195952,B,372.0,130.0,148:半生菓子
◎薫製したうずらたまご,26892.0,108.0,65,1,0.03234216869539049,89.40892594065491,B,414.0,249.0,190:和風菓子・珍味・豆菓子
メビウスＥ１　１００Ｓ,26845.0,59.0,37,2,0.03228564326296883,89.44121158391788,B,726.0,455.0,290:たばこ
グレープフルーツ,26772.0,97.0,50,1,0.032197848442399014,89.47340943236027,B,535.0,276.0,135:牛乳・チルド飲料
ハイチュウグレープ,26670.0,210.0,74,1,0.032075176227356256,89.50548460858762,B,360.0,127.0,180:ガム・キャンディ
週刊　モーニング,26536.0,62.0,19,2,0.03191401861151577,89.53739862719914,B,1397.0,428.0,265:雑誌・コミック・新聞
◎生コッペパン（オムナポ,26496.0,144.0,15,3,0.03186591186051861,89.56926453905966,B,1766.0,184.0,145:パン
◎いちごのクロワッサン（,26460.0,180.0,24,3,0.03182261578462117,89.60108715484428,B,1102.0,147.0,145:パン
冷シート　フローラル,26334.0,57.0,38,2,0.031671079518980114,89.63275823436327,B,693.0,462.0,220:化粧品
◎ミニメンチカツバーガ３,26325.0,135.0,34,1,0.03166025550000576,89.66441848986327,B,774.0,195.0,145:パン
◎クルーラーリングドー８,26312.0,143.0,41,2,0.03164462080593168,89.6960631106692,B,642.0,184.0,145:パン
マルボロ・メン４Ｂ,26208.0,48.0,34,1,0.03151954325333906,89.72758265392254,B,771.0,546.0,290:たばこ
スニッカーズピーナッツ,26100.0,174.0,75,1,0.03138965502564673,89.75897230894819,B,348.0,150.0,185:洋風菓子・駄菓子
手巻寿司　ばくだん納豆,26082.0,126.0,22,1,0.03136800698769801,89.79034031593588,B,1186.0,207.0,100:米飯
◎サーターアンダギー６個,26070.0,158.0,38,1,0.031353574962398864,89.82169389089827,B,686.0,165.0,145:パン
◎白生クロワッサン（ダブ,26052.0,167.0,24,3,0.03133192692445014,89.85302581782273,B,1086.0,156.0,145:パン
タフグミビッグバンピーチ,25704.0,108.0,37,2,0.03091339819077485,89.8839392160135,B,695.0,238.0,180:ガム・キャンディ
かぶり寿司　旨辛唐揚げ巻,25470.0,90.0,22,2,0.030631973697441466,89.91457118971094,B,1158.0,283.0,100:米飯
ミニ冷し中華,25461.0,69.0,43,1,0.030621149678467106,89.94519233938941,B,592.0,369.0,105:調理麺
◎おつまみかまぼこチーズ,25431.0,147.0,67,1,0.030585069615219236,89.97577740900462,B,380.0,173.0,120:惣菜
◎たっぷりマロンクリーム,25431.0,173.0,14,3,0.030585069615219236,90.00636247861983,B,1816.0,147.0,145:パン
ＳＯＹＪＯＹ　黒ゴマ,25375.0,203.0,67,1,0.03051772016382321,90.03688019878366,B,379.0,125.0,200:健康食品
シングルモルト白州１８０,25350.0,13.0,8,3,0.030487653444449987,90.06736785222812,B,3169.0,1950.0,305:ワイン・洋酒
◎素焼きミックスナッツ,25263.0,70.0,49,1,0.03038302126103116,90.09775087348915,B,516.0,361.0,190:和風菓子・珍味・豆菓子
◎ハムエッグデニッシュ２,25245.0,187.0,21,2,0.030361373223082442,90.12811224671223,B,1202.0,135.0,145:パン
アイスコーヒーＭ,25199.0,113.0,28,2,0.03030605045943571,90.15841829717166,B,900.0,223.0,140:カウンターＦＦ
サンド寿司　まぐろたくあ,25050.0,75.0,13,1,0.030126852811971288,90.18854514998364,B,1927.0,334.0,100:米飯
ウィルキンソン　レモン,24976.0,223.0,21,1,0.030037855322626542,90.21858300530627,B,1189.0,112.0,215:ドライ飲料
ドデカミンＢＩＧ,24883.0,167.0,35,1,0.029926007126558147,90.24850901243283,B,711.0,149.0,215:ドライ飲料
のど飴,24800.0,200.0,82,2,0.02982618561823904,90.27833519805107,B,302.0,124.0,180:ガム・キャンディ
トロピカーナオレンジ,24750.0,165.0,74,1,0.02976605217949259,90.30810125023056,B,334.0,150.0,135:牛乳・チルド飲料
スタイルフィットＯＬ,24600.0,60.0,35,1,0.02958565186325324,90.33768690209382,B,703.0,410.0,240:紙・衛生用品
薬用リップスティック,24518.0,82.0,54,3,0.029487033023709062,90.36717393511753,B,454.0,299.0,220:化粧品
冷し明太クリームうどん,24475.0,55.0,26,2,0.02943531826638712,90.39660925338393,B,941.0,445.0,105:調理麺
ぷにキャラグミちいかわ,24416.0,112.0,26,3,0.029364360808666307,90.4259736141926,B,939.0,218.0,180:ガム・キャンディ
週刊少年サンデー,24400.0,70.0,15,2,0.029345118108267444,90.45531873230087,B,1627.0,349.0,265:雑誌・コミック・新聞
◎チョコマシュマロ,24325.0,175.0,77,1,0.029254917950147768,90.48457365025101,B,316.0,139.0,185:洋風菓子・駄菓子
ペタグーグレープ,24300.0,162.0,47,2,0.02922485123077454,90.51379850148179,B,517.0,150.0,180:ガム・キャンディ
メントスグレープ,24240.0,202.0,76,1,0.029152691104278806,90.54295119258606,B,319.0,120.0,180:ガム・キャンディ
ＣＷ晴雨兼用ミニ折傘,24168.0,12.0,12,2,0.029066098952483917,90.57201729153854,B,2014.0,2014.0,260:雨具
ネオＢワイルドベリー,24115.0,53.0,36,3,0.02900235750741268,90.60101964904595,B,670.0,455.0,290:たばこ
◎ひとくちこしあん大福５,24024.0,154.0,80,2,0.028892914648894142,90.62991256369484,B,300.0,156.0,190:和風菓子・珍味・豆菓子
◎ひとくちこしあん大福５,24024.0,154.0,80,2,0.028892914648894142,90.62991256369484,B,300.0,156.0,148:半生菓子
ベースブレッドこしあん,24012.0,87.0,55,1,0.028878482623594992,90.65879104631844,B,437.0,276.0,185:洋風菓子・駄菓子
ベースブレッドこしあん,24012.0,87.0,55,1,0.028878482623594992,90.65879104631844,B,437.0,276.0,148:半生菓子
エボＴベリーＣＰＬＭ,24000.0,48.0,32,2,0.028864050598295846,90.68765509691674,B,750.0,500.0,290:たばこ
邪払のど飴小袋,23800.0,200.0,79,3,0.028623516843310045,90.71627861376005,B,301.0,119.0,180:ガム・キャンディ
雑貨（雑誌便）,23740.0,17.0,7,1,0.028551356716814306,90.74482997047687,B,3391.0,1396.0,265:雑誌・コミック・新聞
アクオグリーンミント,23630.0,139.0,76,1,0.028419063151572114,90.77324903362845,B,311.0,170.0,180:ガム・キャンディ
◎有機栽培の恵み天津甘栗,23549.0,138.0,75,1,0.02832164698080287,90.80157068060925,B,314.0,171.0,180:ガム・キャンディ
しゃりｉｎグミみかん,23520.0,140.0,33,2,0.02828676958632993,90.82985745019558,B,713.0,168.0,180:ガム・キャンディ
ハムカツサンド,23463.0,79.0,13,1,0.028218217466158973,90.85807566766174,B,1805.0,297.0,110:調理パン
ライトニング電池式６本,23460.0,10.0,12,2,0.02821460945983419,90.88629027712157,B,1955.0,2346.0,255:電池・電器・喫煙具
今治ＴＨドット／黒青,23400.0,39.0,30,3,0.028142449333338447,90.91443272645492,B,780.0,600.0,245:衣料品
今治ＴＨＳＴ／青橙,23400.0,39.0,29,3,0.028142449333338447,90.94257517578826,B,807.0,600.0,245:衣料品
ゼログラノーラチョコ,23364.0,118.0,46,2,0.028099153257441004,90.9706743290457,B,508.0,198.0,200:健康食品
トマトジュース食塩無添加,23165.0,205.0,77,1,0.027859822171230137,90.99853415121694,B,301.0,113.0,135:牛乳・チルド飲料
ベースブレッドシナモン,23140.0,89.0,57,1,0.027829755451856907,91.0263639066688,B,406.0,260.0,185:洋風菓子・駄菓子
ベースブレッドシナモン,23140.0,89.0,57,1,0.027829755451856907,91.0263639066688,B,406.0,260.0,148:半生菓子
ハラペーニョチキンチェダ,23036.0,52.0,15,1,0.027704677899264292,91.05406858456807,B,1536.0,443.0,110:調理パン
キレート　ＭＵＫＵＭＩ,22994.0,138.0,61,1,0.027654165810717276,91.08172275037879,B,377.0,167.0,205:健康サポート飲料
さけるチーズプレーン,22933.0,163.0,78,2,0.02758080301544661,91.10930355339424,B,294.0,141.0,125:日配品・生鮮品
一番搾りホワイト３５０,22896.0,106.0,14,1,0.027536304270774237,91.13683985766501,B,1635.0,216.0,295:ビール
１９６王林３５０,22862.0,142.0,25,2,0.027495413532426648,91.16433527119743,B,914.0,161.0,305:ワイン・洋酒
